Year,Month,Day,Max Temp (F),Min Temp (F),Average Wind Speed (mph)
2016,1,1,35,6,8.95
2016,1,2,41,16,10.07
2016,1,3,46,15,6.93
2016,1,4,45,18,5.82
2016,1,5,45,23,6.71
2016,1,6,46,19,7.83
2016,1,7,35,28,5.14
2016,1,8,29,18,5.59
2016,1,9,28,6,4.25
2016,1,10,32,5,7.61
2016,1,11,40,12,8.5
2016,1,12,45,19,8.72
2016,1,13,51,22,12.3
2016,1,14,44,28,14.54
2016,1,15,33,19,10.07
2016,1,16,37,11,6.93
2016,1,17,38,12,6.04
2016,1,18,51,22,6.71
2016,1,19,40,26,8.95
2016,1,20,49,25,9.62
2016,1,21,40,21,7.61
2016,1,22,52,21,9.62
2016,1,23,57,32,7.16
2016,1,24,45,28,9.4
2016,1,25,37,18,10.74
2016,1,26,42,18,10.51
2016,1,27,52,24,8.5
2016,1,28,58,27,10.51
2016,1,29,55,35,11.41
2016,1,30,65,28,9.17
2016,1,31,34,22,8.05
2016,2,1,30,22,13.2
2016,2,2,22,9,14.54
2016,2,3,28,1,9.62
2016,2,4,34,6,10.07
2016,2,5,37,11,8.5
2016,2,6,48,17,14.32
2016,2,7,43,14,13.42
2016,2,8,42,15,8.72
2016,2,9,55,23,9.17
2016,2,10,66,34,12.75
2016,2,11,64,29,12.3
2016,2,12,52,27,7.38
2016,2,13,63,27,7.83
2016,2,14,52,27,9.84
2016,2,15,59,25,15.21
2016,2,16,59,28,8.5
2016,2,17,68,28,8.5
2016,2,18,73,39,19.01
2016,2,19,64,33,12.3
2016,2,20,62,27,12.53
2016,2,21,46,23,10.96
2016,2,22,51,28,7.38
2016,2,23,43,27,12.3
2016,2,24,50,22,12.08
2016,2,25,48,17,7.38
2016,2,26,61,28,8.72
2016,2,27,72,30,14.54
2016,2,28,60,36,13.2
2016,3,1,58,27,8.95
2016,3,2,61,30,19.69
2016,3,3,64,22,10.07
2016,3,4,58,33,11.63
2016,3,5,67,36,13.2
2016,3,6,69,36,10.07
2016,3,7,55,29,12.08
2016,3,8,51,26,5.82
2016,3,9,57,22,8.05
2016,3,10,67,25,8.95
2016,3,11,74,36,11.63
2016,3,12,66,35,11.41
2016,3,13,63,38,8.28
2016,3,14,65,36,15.88
2016,3,15,47,32,16.55
2016,3,16,48,31,15.43
2016,3,17,36,24,10.29
2016,3,18,30,21,8.05
2016,3,19,37,20,6.93
2016,3,20,58,19,10.74
2016,3,21,73,41,10.74
2016,3,22,73,39,13.42
2016,3,23,42,13,22.82
2016,3,24,40,10,11.63
2016,3,25,43,27,8.72
2016,3,26,34,23,9.17
2016,3,27,50,23,14.09
2016,3,28,65,29,10.96
2016,3,29,61,36,11.86
2016,3,30,47,29,13.2
2016,3,31,44,28,13.87
2016,4,1,51,25,9.4
2016,4,2,63,32,8.72
2016,4,3,69,34,8.28
2016,4,4,72,38,7.61
2016,4,5,67,38,15.21
2016,4,6,71,30,14.09
2016,4,7,65,36,8.72
2016,4,8,66,34,8.95
2016,4,9,72,39,8.5
2016,4,10,68,38,10.07
2016,4,11,60,38,5.82
2016,4,12,71,36,8.72
2016,4,13,72,41,9.62
2016,4,14,77,47,12.3
2016,4,15,54,34,13.65
2016,4,16,34,31,19.24
2016,4,17,36,30,13.42
2016,4,18,39,29,8.05
2016,4,19,44,31,8.05
2016,4,20,55,32,6.49
2016,4,21,64,37,7.16
2016,4,22,77,39,9.84
2016,4,23,77,49,21.03
2016,4,24,67,39,13.2
2016,4,25,72,38,16.55
2016,4,26,53,33,12.3
2016,4,27,54,27,9.4
2016,4,28,40,35,10.51
2016,4,29,36,31,6.26
2016,4,30,35,31,15.88
2016,5,1,42,32,9.4
2016,5,2,59,28,5.82
2016,5,3,66,40,11.41
2016,5,4,74,44,9.84
2016,5,5,79,44,10.07
2016,5,6,80,50,10.07
2016,5,7,55,35,14.76
2016,5,8,65,32,9.84
2016,5,9,67,41,8.05
2016,5,10,65,43,10.51
2016,5,11,61,38,9.17
2016,5,12,71,37,9.4
2016,5,13,71,46,14.09
2016,5,14,55,40,12.75
2016,5,15,59,41,8.28
2016,5,16,48,39,10.74
2016,5,17,48,39,6.71
2016,5,18,66,38,9.62
2016,5,19,73,43,9.17
2016,5,20,79,49,13.42
2016,5,21,83,53,15.21
2016,5,22,77,47,13.42
2016,5,23,68,42,12.08
2016,5,24,73,43,10.74
2016,5,25,73,45,9.17
2016,5,26,67,44,8.5
2016,5,27,58,45,10.74
2016,5,28,72,43,9.17
2016,5,29,76,44,9.4
2016,5,30,78,46,8.95
2016,5,31,66,47,7.61
2016,6,1,73,51,8.72
2016,6,2,79,49,8.95
2016,6,3,78,58,8.5
2016,6,4,77,55,6.93
2016,6,5,82,50,6.71
2016,6,6,83,56,9.17
2016,6,7,80,51,8.05
2016,6,8,83,53,8.5
2016,6,9,88,57,8.5
2016,6,10,90,57,10.29
2016,6,11,90,55,10.74
2016,6,12,85,59,7.83
2016,6,13,76,55,7.38
2016,6,14,81,52,11.18
2016,6,15,86,55,10.96
2016,6,16,90,54,8.28
2016,6,17,85,57,8.5
2016,6,18,90,59,12.08
2016,6,19,97,65,10.29
2016,6,20,73,61,7.38
2016,6,21,98,56,8.72
2016,6,22,80,63,9.62
