,Relative Humidity (%)
0,55
1,71
2,69
3,66
4,64
5,74
6,76
7,61
8,74
9,69
10,75
11,80
12,77
13,75
14,45
15,46
16,49
17,44
18,63
19,70
20,65
21,51
22,50
23,60
24,64
25,57
26,44
27,60
28,77
29,69
30,76
31,71
32,53
33,58
34,72
35,59
36,52
37,47
38,55
39,55
40,64
41,75
42,49
43,51
44,44
45,64
46,76
47,55
48,48
49,52
50,62
51,78
52,69
53,63
54,48
55,65
56,67
57,61
58,67
59,72
60,75
61,72
62,61
63,49
64,51
65,48
66,58
67,53
68,46
69,42
70,47
71,71
72,50
73,42
74,34
75,68
76,64
77,83
78,58
79,35
80,41
81,52
82,52
83,70
84,53
85,58
86,47
87,47
88,37
89,35
90,38
91,68
92,58
93,38
94,35
95,33
96,44
97,48
98,59
99,47
100,40
101,38
102,37
103,31
104,35
105,75
106,90
107,73
108,68
109,61
110,53
111,55
112,54
113,50
114,55
115,86
116,86
117,71
118,50
119,43
120,77
121,58
122,56
123,81
124,89
125,84
126,82
127,86
128,92
129,75
130,66
131,61
132,71
133,65
134,68
135,73
136,66
137,79
138,84
139,78
140,76
141,77
142,77
143,79
144,73
145,71
146,67
147,63
148,76
149,70
150,60
151,62
152,49
153,55
154,60
155,80
156,70
157,60
158,63
159,55
160,80
161,76
162,82
163,57
164,63
165,75
166,76
167,66
168,56
169,50
170,45
171,43
172,42
173,51
174,47
175,51
176,69
177,62
178,52
179,67
180,51
181,60
182,72
183,74
184,55
185,53
186,83
187,77
188,84
189,75
190,66
191,52
192,51
193,48
194,67
195,71
196,55
197,42
198,46
199,73
200,56
201,68
202,62
203,43
204,41
205,45
206,49
207,50
208,38
209,46
210,45
211,53
212,44
213,44
214,47
215,47
216,41
217,37
218,43
219,57
220,44
221,66
222,72
223,63
224,54
225,56
226,52
227,55
228,63
229,63
230,64
231,43
232,36
233,35
234,54
235,38
236,40
237,41
238,57
239,57
240,44
241,34
242,49
243,54
244,45
245,51
246,54
247,50
248,46
249,46
250,45
251,31
252,28
253,52
254,44
255,30
256,30
257,45
258,44
259,47
260,53
261,44
262,33
263,29
264,38
265,51
266,39
267,40
268,40
269,36
270,41
271,74
272,54
273,50
274,63
275,66
276,71
277,67
278,74
279,72
280,54
281,66
282,47
