,Year,Month,Day,Relative Humidity
0,2015,1,1,46.31
1,2015,1,1,47.28
2,2015,1,1,45.1
3,2015,1,1,48.98
4,2015,1,1,50.89
5,2015,1,1,52.26
6,2015,1,1,53.4
7,2015,1,1,59.87
8,2015,1,1,57.76
9,2015,1,1,60.47
10,2015,1,1,62.53
11,2015,1,1,62.76
12,2015,1,1,65.91
13,2015,1,1,69.81
14,2015,1,1,58.5
15,2015,1,1,51.22
16,2015,1,1,48.92
17,2015,1,1,43.81
18,2015,1,1,45.5
19,2015,1,1,47.75
20,2015,1,1,53.14
21,2015,1,1,54.8
22,2015,1,1,61.89
23,2015,1,1,64.87
24,2015,1,2,67.14
25,2015,1,2,67.01
26,2015,1,2,73.46
27,2015,1,2,74.93
28,2015,1,2,75.35
29,2015,1,2,82.0
30,2015,1,2,82.29
31,2015,1,2,88.31
32,2015,1,2,86.43
33,2015,1,2,90.14
34,2015,1,2,86.75
35,2015,1,2,84.23
36,2015,1,2,82.14
37,2015,1,2,80.0
38,2015,1,2,66.56
39,2015,1,2,54.04
40,2015,1,2,50.59
41,2015,1,2,53.19
42,2015,1,2,58.35
43,2015,1,2,55.68
44,2015,1,2,52.86
45,2015,1,2,58.05
46,2015,1,2,71.51
47,2015,1,2,62.93
48,2015,1,3,64.34
49,2015,1,3,71.16
50,2015,1,3,72.8
51,2015,1,3,69.29
52,2015,1,3,67.1
53,2015,1,3,65.52
54,2015,1,3,64.88
55,2015,1,3,65.42
56,2015,1,3,65.73
57,2015,1,3,65.78
58,2015,1,3,65.76
59,2015,1,3,65.84
60,2015,1,3,66.06
61,2015,1,3,62.16
62,2015,1,3,56.08
63,2015,1,3,60.17
64,2015,1,3,65.96
65,2015,1,3,71.0
66,2015,1,3,75.2
67,2015,1,3,75.53
68,2015,1,3,77.42
69,2015,1,3,80.96
70,2015,1,3,80.7
71,2015,1,3,84.99
72,2015,1,4,78.51
73,2015,1,4,82.57
74,2015,1,4,81.94
75,2015,1,4,76.82
76,2015,1,4,80.15
77,2015,1,4,77.15
78,2015,1,4,79.47
79,2015,1,4,76.2
80,2015,1,4,70.0
81,2015,1,4,71.39
82,2015,1,4,66.88
83,2015,1,4,67.53
84,2015,1,4,62.65
85,2015,1,4,64.1
86,2015,1,4,56.22
87,2015,1,4,49.39
88,2015,1,4,48.03
89,2015,1,4,47.05
90,2015,1,4,49.7
91,2015,1,4,52.35
92,2015,1,4,55.59
93,2015,1,4,62.01
94,2015,1,4,65.11
95,2015,1,4,64.1
96,2015,1,5,61.67
97,2015,1,5,59.04
98,2015,1,5,61.75
99,2015,1,5,64.97
100,2015,1,5,63.36
101,2015,1,5,67.01
102,2015,1,5,66.93
103,2015,1,5,66.38
104,2015,1,5,65.91
105,2015,1,5,66.38
106,2015,1,5,67.52
107,2015,1,5,64.95
108,2015,1,5,63.9
109,2015,1,5,63.77
110,2015,1,5,60.13
111,2015,1,5,59.87
112,2015,1,5,61.2
113,2015,1,5,55.53
114,2015,1,5,55.4
115,2015,1,5,62.86
116,2015,1,5,65.52
117,2015,1,5,69.77
