Year,Month,Day,Relative Humidity
2015,1,1,46.31
2015,1,1,47.28
2015,1,1,45.1
2015,1,1,48.98
2015,1,1,50.89
2015,1,1,52.26
2015,1,1,53.4
2015,1,1,59.87
2015,1,1,57.76
2015,1,1,60.47
2015,1,1,62.53
2015,1,1,62.76
2015,1,1,65.91
2015,1,1,69.81
2015,1,1,58.5
2015,1,1,51.22
2015,1,1,48.92
2015,1,1,43.81
2015,1,1,45.5
2015,1,1,47.75
2015,1,1,53.14
2015,1,1,54.8
2015,1,1,61.89
2015,1,1,64.87
2015,1,2,67.14
2015,1,2,67.01
2015,1,2,73.46
2015,1,2,74.93
2015,1,2,75.35
2015,1,2,82
2015,1,2,82.29
2015,1,2,88.31
2015,1,2,86.43
2015,1,2,90.14
2015,1,2,86.75
2015,1,2,84.23
2015,1,2,82.14
2015,1,2,80
2015,1,2,66.56
2015,1,2,54.04
2015,1,2,50.59
2015,1,2,53.19
2015,1,2,58.35
2015,1,2,55.68
2015,1,2,52.86
2015,1,2,58.05
2015,1,2,71.51
2015,1,2,62.93
2015,1,3,64.34
2015,1,3,71.16
2015,1,3,72.8
2015,1,3,69.29
2015,1,3,67.1
2015,1,3,65.52
2015,1,3,64.88
2015,1,3,65.42
2015,1,3,65.73
2015,1,3,65.78
2015,1,3,65.76
2015,1,3,65.84
2015,1,3,66.06
2015,1,3,62.16
2015,1,3,56.08
2015,1,3,60.17
2015,1,3,65.96
2015,1,3,71
2015,1,3,75.2
2015,1,3,75.53
2015,1,3,77.42
2015,1,3,80.96
2015,1,3,80.7
2015,1,3,84.99
2015,1,4,78.51
2015,1,4,82.57
2015,1,4,81.94
2015,1,4,76.82
2015,1,4,80.15
2015,1,4,77.15
2015,1,4,79.47
2015,1,4,76.2
2015,1,4,70
2015,1,4,71.39
2015,1,4,66.88
2015,1,4,67.53
2015,1,4,62.65
2015,1,4,64.1
2015,1,4,56.22
2015,1,4,49.39
2015,1,4,48.03
2015,1,4,47.05
2015,1,4,49.7
2015,1,4,52.35
2015,1,4,55.59
2015,1,4,62.01
2015,1,4,65.11
2015,1,4,64.1
2015,1,5,61.67
2015,1,5,59.04
2015,1,5,61.75
2015,1,5,64.97
2015,1,5,63.36
2015,1,5,67.01
2015,1,5,66.93
2015,1,5,66.38
2015,1,5,65.91
2015,1,5,66.38
2015,1,5,67.52
2015,1,5,64.95
2015,1,5,63.9
2015,1,5,63.77
2015,1,5,60.13
2015,1,5,59.87
2015,1,5,61.2
2015,1,5,55.53
2015,1,5,55.4
2015,1,5,62.86
2015,1,5,65.52
2015,1,5,69.77
2015,1,5,73.69
2015,1,5,76.58
2015,1,6,74.58
2015,1,6,73.32
2015,1,6,72.36
2015,1,6,71.39
2015,1,6,75.47
2015,1,6,80.45
2015,1,6,78.39
2015,1,6,76.73
2015,1,6,75.54
2015,1,6,80.02
2015,1,6,79.53
2015,1,6,79.3
2015,1,6,78.93
2015,1,6,78.83
2015,1,6,74.28
2015,1,6,71.65
2015,1,6,63.9
2015,1,6,58.2
2015,1,6,56.63
2015,1,6,54.27
2015,1,6,60.8
2015,1,6,75.96
2015,1,6,86.21
2015,1,6,94.66
2015,1,7,89.73
2015,1,7,87.12
2015,1,7,90.63
2015,1,7,87.19
2015,1,7,84.29
2015,1,7,88.05
2015,1,7,89.09
2015,1,7,92.89
2015,1,7,88.99
2015,1,7,88.37
2015,1,7,83.91
2015,1,7,86.61
2015,1,7,83.05
2015,1,7,79.3
2015,1,7,74.89
2015,1,7,67.01
2015,1,7,61.45
2015,1,7,55.03
2015,1,7,50.88
2015,1,7,50.76
2015,1,7,50.32
2015,1,7,53.89
2015,1,7,63.91
2015,1,7,72.19
2015,1,8,76.89
2015,1,8,73.59
2015,1,8,74.8
2015,1,8,67.56
2015,1,8,59.37
2015,1,8,56.12
2015,1,8,54.25
2015,1,8,55.4
2015,1,8,54.76
2015,1,8,54.56
2015,1,8,57.11
2015,1,8,61.87
2015,1,8,61.71
2015,1,8,61.73
2015,1,8,58.17
2015,1,8,55.19
2015,1,8,52.09
2015,1,8,50.91
2015,1,8,47.55
2015,1,8,48.78
2015,1,8,53.83
2015,1,8,63.72
2015,1,8,83.63
2015,1,8,89.53
2015,1,9,95.29
2015,1,9,93.95
2015,1,9,94.82
2015,1,9,91.69
2015,1,9,86.85
2015,1,9,82.77
2015,1,9,80.51
2015,1,9,80.67
2015,1,9,77.09
2015,1,9,75.13
2015,1,9,75.06
2015,1,9,70.67
2015,1,9,72.63
2015,1,9,73.98
2015,1,9,68.88
2015,1,9,62.88
2015,1,9,59.28
2015,1,9,57.83
2015,1,9,55.27
2015,1,9,53.05
2015,1,9,54.93
2015,1,9,61.09
2015,1,9,69.82
2015,1,9,76.43
2015,1,10,79.9
2015,1,10,86.35
2015,1,10,80.72
2015,1,10,80.17
2015,1,10,78.88
2015,1,10,77.68
2015,1,10,76.6
2015,1,10,75.43
2015,1,10,69.97
2015,1,10,66.7
2015,1,10,69.99
2015,1,10,73.46
2015,1,10,70.43
2015,1,10,71.66
2015,1,10,72.44
2015,1,10,61.53
2015,1,10,55.95
2015,1,10,49.12
2015,1,10,45.48
2015,1,10,41.77
2015,1,10,45.83
2015,1,10,58.42
2015,1,10,79.21
2015,1,10,78.78
2015,1,11,82.85
2015,1,11,81.44
2015,1,11,79.39
2015,1,11,76.99
2015,1,11,74.23
2015,1,11,71.57
2015,1,11,69.85
2015,1,11,69.05
2015,1,11,73.73
2015,1,11,73.58
2015,1,11,73.79
2015,1,11,68.75
2015,1,11,68.8
2015,1,11,69.71
2015,1,11,67.29
2015,1,11,70.33
2015,1,11,70.31
2015,1,11,67.29
2015,1,11,72.14
2015,1,11,73.86
2015,1,11,78.76
2015,1,11,83.61
2015,1,11,91.35
2015,1,11,94.2
2015,1,12,92.25
2015,1,12,90.22
2015,1,12,94.36
2015,1,12,91.22
2015,1,12,93.85
2015,1,12,89.64
2015,1,12,93.09
2015,1,12,90.18
2015,1,12,87.45
2015,1,12,85.03
2015,1,12,82.91
2015,1,12,81.13
2015,1,12,79.56
2015,1,12,84.14
2015,1,12,76.86
2015,1,12,67.68
2015,1,12,66.31
2015,1,12,68.37
2015,1,12,65.2
2015,1,12,61.4
2015,1,12,61.4
2015,1,12,65.5
2015,1,12,70.56
2015,1,12,79.26
2015,1,13,81.16
2015,1,13,84.67
2015,1,13,82.94
2015,1,13,82.11
2015,1,13,81.35
2015,1,13,80.41
2015,1,13,79.35
2015,1,13,77.93
2015,1,13,77.09
2015,1,13,76.87
2015,1,13,77.36
2015,1,13,77.69
2015,1,13,77.44
2015,1,13,77.31
2015,1,13,72.59
2015,1,13,70.16
2015,1,13,71.98
2015,1,13,69.21
2015,1,13,71.12
2015,1,13,72.64
2015,1,13,73.25
2015,1,13,73.85
2015,1,13,80.07
2015,1,13,80.23
2015,1,14,85.81
2015,1,14,90.94
2015,1,14,89.24
2015,1,14,94.6
2015,1,14,93.08
2015,1,14,98.28
2015,1,14,96.1
2015,1,14,94.44
2015,1,14,92.56
2015,1,14,90.44
2015,1,14,94.13
2015,1,14,90.22
2015,1,14,86.63
2015,1,14,83.38
2015,1,14,69.46
2015,1,14,58.35
2015,1,14,52.73
2015,1,14,48.62
2015,1,14,45.58
2015,1,14,41.58
2015,1,14,40.5
2015,1,14,43.08
2015,1,14,58.9
2015,1,14,58.76
2015,1,15,58.8
2015,1,15,63.19
2015,1,15,66.3
2015,1,15,61.15
2015,1,15,55.02
2015,1,15,50.11
2015,1,15,50.51
2015,1,15,48.69
2015,1,15,47.74
2015,1,15,46.9
2015,1,15,46.02
2015,1,15,45.7
2015,1,15,49.6
2015,1,15,46.02
2015,1,15,40.32
2015,1,15,42.7
2015,1,15,35.94
2015,1,15,30.66
2015,1,15,24.62
2015,1,15,23.08
2015,1,15,24.87
2015,1,15,36.89
2015,1,15,46.74
2015,1,15,47.23
2015,1,16,54.43
2015,1,16,57.09
2015,1,16,56.64
2015,1,16,52.97
2015,1,16,49.22
2015,1,16,46.3
2015,1,16,44.9
2015,1,16,44.83
2015,1,16,45.06
2015,1,16,44.93
2015,1,16,44.08
2015,1,16,42.82
2015,1,16,41.63
2015,1,16,40.62
2015,1,16,41.01
2015,1,16,38.44
2015,1,16,40.27
2015,1,16,39.28
2015,1,16,41.45
2015,1,16,46.38
2015,1,16,50.72
2015,1,16,49.73
2015,1,16,50.96
2015,1,16,49.08
2015,1,17,50.45
2015,1,17,56.15
2015,1,17,55.9
2015,1,17,54.82
2015,1,17,53.51
2015,1,17,57.28
2015,1,17,57.41
2015,1,17,57.51
2015,1,17,59.28
2015,1,17,63.57
2015,1,17,62.34
2015,1,17,60.92
2015,1,17,59.7
2015,1,17,58.52
2015,1,17,53.34
2015,1,17,49.64
2015,1,17,41.36
2015,1,17,31.45
2015,1,17,25.59
2015,1,17,21.94
2015,1,17,23.28
2015,1,17,28.09
2015,1,17,44.8
2015,1,17,52.33
2015,1,18,54.77
2015,1,18,52.87
2015,1,18,48.92
2015,1,18,45.45
2015,1,18,43.52
2015,1,18,40.62
2015,1,18,40.48
2015,1,18,37
2015,1,18,38.9
2015,1,18,38.06
