DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
27,120,0.2,75.54,998
30,127,0.4,73.16,993
22,223,0.4,54.87,1017
15,157,0.4,86.75,1001
25,106,0.6,81.97,983
24,190,0.5,64.41,1000
29,128,0.3,66.43,992
23,259,0.4,72.34,999
30,12,0.5,84.9,1000
28,210,0.4,71.51,1004
29,144,0.4,73.26,1017
31,7,0.3,95.11,1006
34,160,0.5,76.78,1010
22,246,0.5,74.64,1015
31,149,0.4,88.96,1001
29,141,0.4,93.19,983
28,238,0.6,71.1,1000
36,140,0.5,84.84,1010
22,3,0.5,99.73,988
26,239,0.5,81.15,983
21,279,0.4,63.55,1000
30,1,0.4,79.46,1005
24,251,0.4,73.53,1000
39,48,0.3,92.61,983
40,49,0.6,81.28,972
22,306,0.4,57.61,1002
33,21,0.7,79.86,990
29,14,0.4,89.79,985
22,305,0.5,82.69,1003
44,74,0.3,83.32,996
34,44,0.5,94.48,976
40,164,0.8,80.58,987
36,116,0.4,77.29,994
29,290,0.6,86.26,988
38,193,0.6,81.01,1008
38,2,0.4,96.36,993
31,287,0.5,81.24,994
52,100,0.5,81.28,1000
55,91,0.4,80.34,1008
53,121,0.5,80.8,1010
51,27,0.4,84.38,1002
44,163,0.5,84.38,999
39,219,0.5,83.88,990
52,63,0.5,83.33,983
33,312,0.4,78.21,1000
30,43,0.8,90.66,966
55,77,0.9,82.76,970
37,272,0.4,82.1,997
53,117,0.3,85.65,995
43,10,0.4,91.59,985
42,248,0.7,84.59,988
35,337,0.5,81.18,1013
48,3,0.4,96.42,1003
67,49,0.4,88.17,995
39,347,0.5,75.27,1000
46,35,0.6,87.03,990
58,93,0.4,78.87,998
45,319,0.4,75.08,1006
34,375,0.5,76.03,1018
43,321,0.5,77.37,1017
59,11,0.4,91.2,991
43,355,0.7,77.66,1001
69,128,0.4,91,989
77,42,0.5,81.82,994
41,378,0.4,70.85,1009
67,192,0.4,79.63,1003
