Year,Month,Day,DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
2017,1,1,15,75,0.3,94.83,998
2017,1,2,19,241,0.3,79.00,1011
2017,1,3,21,217,0.1,76.19,1009
2017,1,4,23,186,0.4,97.68,982
2017,1,5,33,105,0.4,79.60,987
2017,1,6,15,1,0.2,78.06,1000
2017,1,7,36,43,0.3,67.00,1007
2017,1,8,35,14,0.4,86.02,992
2017,1,9,23,239,0.5,82.76,1015
2017,1,10,27,208,0.5,85.09,1022
2017,1,11,30,19,0.4,96.64,1013
2017,1,12,15,5,0.3,99.93,1003
2017,1,13,27,191,0.5,78.07,1000
2017,1,14,17,291,0.3,52.36,1013
2017,1,15,29,170,0.2,67.96,1004
2017,1,16,23,265,0.2,68.62,1008
2017,1,17,25,259,0.3,73.41,1004
2017,1,18,23,254,0.2,77.88,1005
2017,1,19,34,11,0.3,87.61,1000
2017,1,20,35,1,0.3,90.32,997
2017,1,21,21,1,0.2,86.34,993
2017,1,22,36,13,0.2,85.57,993
2017,1,23,21,295,0.2,75.60,1002
2017,1,24,31,19,0.4,87.25,996
2017,1,25,37,34,0.4,99.91,974
2017,1,26,29,85,0.3,94.11,974
2017,1,27,35,39,0.5,86.04,968
2017,1,28,44,115,0.5,70.31,973
2017,1,29,42,50,0.3,83.76,985
2017,1,30,27,95,0.2,83.18,990
2017,1,31,38,193,0.3,68.36,994
2017,2,1,42,122,0.2,78.81,995
2017,2,2,33,255,0.3,81.65,992
2017,2,3,27,301,0.4,67.13,1000
2017,2,4,27,297,0.3,69.37,1000
2017,2,5,43,106,0.2,77.41,996
2017,2,6,32,160,0.4,76.14,990
2017,2,7,27,277,0.4,63.84,1007
2017,2,8,36,2,0.3,92.92,988
2017,2,9,40,136,0.5,79.77,984
2017,2,10,57,70,0.7,79.57,985
2017,2,11,53,106,0.3,71.70,1008
2017,2,12,34,268,0.4,79.09,1007
2017,2,13,7,187,0.8,89.15,977
2017,2,14,43,14,0.7,89.26,983
2017,2,15,63,32,0.2,87.37,989
2017,2,16,25,1,0.7,90.01,963
2017,2,17,50,43,0.5,89.92,973
2017,2,18,52,160,0.3,87.67,987
2017,2,19,56,50,0.3,98.52,984
2017,2,20,65,63,0.4,90.91,997
2017,2,21,32,348,0.5,87.64,1008
2017,2,22,38,300,0.4,89.25,1000
2017,2,23,39,310,0.3,97.51,993
2017,2,24,48,221,0.3,99.83,997
2017,2,25,58,184,0.3,100.00,998
2017,2,26,61,120,0.4,88.22,984
2017,2,27,43,326,0.4,71.15,1005
2017,2,28,45,318,0.3,77.25,1010
2017,3,1,38,187,0.3,98.85,993
2017,3,2,58,148,0.5,89.92,972
2017,3,3,39,287,0.6,52.61,993
2017,3,4,53,145,0.6,52.13,1000
2017,3,5,55,255,0.7,58.60,1000
2017,3,6,50,258,0.4,70.47,1008
2017,3,7,45,308,0.3,76.06,1013
2017,3,8,30,187,0.4,98.76,997
2017,3,9,73,170,0.5,86.00,987
2017,3,10,45,295,0.5,54.01,989
2017,3,11,42,317,0.7,55.70,987
2017,3,12,72,206,0.5,62.63,994
2017,3,13,51,325,0.3,70.37,1006
2017,3,14,74,127,0.7,79.98,1004
2017,3,15,66,116,0.4,90.38,980
2017,3,16,84,100,0.5,74.49,985
2017,3,17,85,157,0.3,80.25,997
2017,3,18,79,198,0.5,82.16,1008
2017,3,19,75,139,0.4,87.35,1008
2017,3,20,96,60,0.6,95.31,994
2017,3,21,45,347,0.6,84.55,988
2017,3,22,69,242,0.4,90.51,987
2017,3,23,80,238,0.8,63.01,1000
2017,3,24,71,230,0.4,66.39,1009
2017,3,25,97,140,0.3,86.34,1003
2017,3,26,43,423,0.5,61.78,1010
2017,3,27,97,45,0.4,68.89,1010
2017,3,28,81,109,0.3,89.74,1000
2017,3,29,92,18,0.3,87.65,995
2017,3,30,94,11,0.8,86.42,993
2017,3,31,106,23,0.6,83.07,1000
2017,4,1,80,240,0.3,85.96,1000
2017,4,2,110,64,0.4,88.91,991
2017,4,3,87,248,0.5,84.47,994
2017,4,4,60,339,0.3,80.51,1000
2017,4,5,115,116,0.4,83.76,1000
2017,4,6,103,138,0.4,94.81,1000
2017,4,7,89,28,0.4,97.52,982
2017,4,8,100,196,0.3,94.45,982
2017,4,9,95,170,0.3,88.53,996
2017,4,10,110,135,0.3,83.34,1007
2017,4,11,76,266,0.2,88.14,1000
2017,4,12,86,244,0.2,91.99,1000
2017,4,13,81,311,0.3,87.29,1000
2017,4,14,85,214,0.3,82.13,1008
2017,4,15,52,390,0.3,78.94,1004
2017,4,16,86,43,0.3,96.45,993
2017,4,17,98,44,0.3,88.51,992
2017,4,18,82,250,0.4,69.17,1012
2017,4,19,55,414,0.3,65.42,1016
2017,4,20,99,11,0.2,77.97,1010
2017,4,21,95,288,0.3,82.37,1007
2017,4,22,114,40,0.2,82.27,1000
2017,4,23,88,9,0.3,91.69,998
2017,4,24,84,264,0.3,91.07,1003
2017,4,25,69,348,0.3,72.60,1012
2017,4,26,72,2,0.3,97.38,1010
2017,4,27,59,36,0.3,98.45,1000
2017,4,28,126,49,0.2,94.76,1000
2017,4,29,105,132,0.3,88.33,994
2017,4,30,52,422,0.5,71.29,1003
2017,5,1,99,10,0.3,89.86,1006
2017,5,2,104,12,0.4,99.27,989
2017,5,3,106,140,0.3,87.21,988
2017,5,4,52,410,0.4,75.96,1002
2017,5,5,142,111,0.4,80.23,1009
2017,5,6,88,5,0.5,98.48,1000
2017,5,7,87,4,0.4,97.47,990
2017,5,8,76,310,0.3,88.00,994
2017,5,9,82,27,0.2,89.60,995
2017,5,10,134,76,0.1,95.51,998
2017,5,11,118,57,0.3,94.85,1000
2017,5,12,108,173,0.3,87.51,1000
2017,5,13,50,420,0.2,83.36,1000
2017,5,14,126,175,0.5,88.24,994
2017,5,15,128,26,0.3,94.84,980
2017,5,16,86,51,0.3,94.63,986
2017,5,17,69,350,0.3,83.82,990
2017,5,18,102,295,0.2,88.71,990
2017,5,19,104,225,0.3,88.08,990
2017,5,20,113,238,0.5,76.69,1002
2017,5,21,55,472,0.5,70.19,1003
2017,5,22,101,297,0.3,80.64,1003
2017,5,23,118,12,0.4,98.70,996
2017,5,24,154,83,0.2,90.39,992
2017,5,25,143,106,0.2,86.28,1000
2017,5,26,86,5,0.3,97.60,988
2017,5,27,115,24,0.3,93.83,991
2017,5,28,134,76,0.1,93.32,1000
2017,5,29,107,192,0.1,91.12,1001
2017,5,30,93,314,0.2,81.25,1010
2017,5,31,136,149,0.3,89.34,1005
2017,6,1,109,225,0.2,91.67,994
2017,6,2,104,285,0.2,86.65,990
2017,6,3,117,221,0.2,90.84,990
2017,6,4,102,64,0.3,89.00,993
2017,6,5,151,51,0.3,84.20,1000
2017,6,6,146,118,0.3,87.85,996
2017,6,7,51,470,0.2,78.91,993
2017,6,8,59,439,0.3,83.00,1000
2017,6,9,89,7,0.4,95.35,984
2017,6,10,56,472,0.3,81.30,995
2017,6,11,78,375,0.4,85.61,994
2017,6,12,77,352,0.1,82.97,993
2017,6,13,91,282,0.3,91.41,990
2017,6,14,80,239,0.4,83.11,994
2017,6,15,150,204,0.3,83.16,1001
2017,6,16,132,205,0.3,87.13,1010
2017,6,17,89,3,0.4,99.52,1005
2017,6,18,140,112,0.2,93.11,1000
2017,6,19,133,174,0.4,94.77,1000
2017,6,20,111,28,0.4,96.49,995
2017,6,21,164,135,0.3,91.17,992
2017,6,22,77,406,0.3,84.78,990
2017,6,23,147,152,0.2,89.75,990
