Year,Month,Day,DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
2019,1,1,30,42,1.0,97.16,990
2019,1,2,18,237,1.1,79.84,1003
2019,1,3,32,84,0.5,86.34,1002
2019,1,4,32,103,0.6,95.94,997
2019,1,5,29,8,0.4,100.00,990
2019,1,6,31,31,1.0,97.32,982
2019,1,7,26,155,1.1,83.30,1001
2019,1,8,29,53,0.5,85.06,1008
2019,1,9,33,101,1.1,98.05,983
2019,1,10,25,173,0.8,92.12,976
2019,1,11,38,44,0.8,79.29,991
2019,1,12,30,132,0.9,76.48,1005
2019,1,13,18,255,0.7,79.84,1011
2019,1,14,20,224,0.6,80.77,1007
2019,1,15,20,253,0.8,85.68,997
2019,1,16,31,125,0.7,88.00,999
2019,1,17,19,254,0.8,74.41,1007
2019,1,18,36,130,0.5,78.56,1008
2019,1,19,22,228,0.7,74.55,1008
2019,1,20,33,1,1.2,86.59,997
2019,1,21,34,28,1.0,87.10,979
2019,1,22,38,94,1.1,69.42,997
2019,1,23,35,103,0.6,74.81,1011
2019,1,24,36,81,1.0,99.62,993
2019,1,25,34,182,0.8,90.28,989
2019,1,26,34,171,0.6,81.57,1007
2019,1,27,28,220,0.5,89.26,1008
2019,1,28,37,13,0.6,86.03,1000
2019,1,29,19,271,0.7,63.12,1005
2019,1,30,13,29,0.9,94.71,995
2019,1,31,40,80,1.2,67.63,998
2019,2,1,38,147,0.9,69.47,1004
2019,2,2,28,202,0.9,72.49,1000
2019,2,3,23,289,0.9,76.26,1003
2019,2,4,38,9,0.6,92.32,1003
2019,2,5,42,28,0.5,99.93,998
2019,2,6,48,67,0.8,84.56,1005
2019,2,7,49,109,0.3,82.50,1010
2019,2,8,45,13,0.9,97.92,995
2019,2,9,46,135,1.5,65.41,996
2019,2,10,22,335,1.4,61.88,1005
2019,2,11,21,351,1.3,61.16,1003
2019,2,12,24,306,0.7,70.26,1012
2019,2,13,18,1,1.1,90.41,994
2019,2,14,39,249,1.0,90.28,991
2019,2,15,37,211,0.9,85.78,1006
2019,2,16,62,55,0.9,99.41,989
2019,2,17,28,309,0.7,74.84,998
2019,2,18,50,130,0.5,66.19,997
2019,2,19,22,364,1.1,64.41,1004
2019,2,20,22,357,1.1,64.63,1011
2019,2,21,38,4,0.5,83.86,999
2019,2,22,32,309,0.8,83.37,1003
2019,2,23,30,344,0.8,78.04,1011
2019,2,24,46,187,0.9,80.63,1004
2019,2,25,61,133,1.4,93.79,971
2019,2,26,48,196,1.7,77.35,987
2019,2,27,33,315,1.4,76.07,998
2019,2,28,30,352,1.0,72.44,1000
2019,3,1,30,377,0.8,75.38,1009
2019,3,2,68,117,0.6,88.54,1005
2019,3,3,49,224,0.9,90.30,1001
2019,3,4,70,18,1.0,95.89,990
2019,3,5,38,319,0.9,92.71,994
2019,3,6,49,238,0.7,89.67,994
2019,3,7,40,278,0.8,88.49,1002
2019,3,8,44,308,0.9,87.73,1008
2019,3,9,42,315,0.9,93.71,1008
2019,3,10,46,309,0.9,88.29,1017
2019,3,11,61,152,0.9,97.51,993
2019,3,12,73,200,0.5,90.50,996
2019,3,13,35,391,0.5,81.22,1008
2019,3,14,36,381,0.4,84.83,1010
2019,3,15,72,113,0.9,94.96,1001
2019,3,16,70,214,0.9,94.69,986
2019,3,17,44,369,0.9,66.73,997
2019,3,18,50,318,0.7,65.27,1004
2019,3,19,62,269,0.7,69.53,1010
2019,3,20,28,409,0.6,69.22,1012
2019,3,21,50,300,0.6,83.54,1010
2019,3,22,39,18,1.1,98.29,985
2019,3,23,77,13,1.1,93.77,973
2019,3,24,35,401,0.8,78.14,992
2019,3,25,43,305,0.6,77.20,997
2019,3,26,33,426,0.6,62.45,1005
2019,3,27,33,427,0.6,58.66,1015
2019,3,28,35,419,0.8,79.35,1016
2019,3,29,67,9,0.8,93.68,1006
2019,3,30,48,15,0.4,95.96,1008
2019,3,31,80,197,0.7,96.88,1000
2019,4,1,77,20,1.1,80.92,990
2019,4,2,38,421,0.8,69.62,1015
2019,4,3,28,2,1.4,93.46,993
2019,4,4,79,291,1.5,61.93,997
2019,4,5,35,450,1.0,63.13,1009
2019,4,6,42,3,0.7,93.60,1005
2019,4,7,50,370,0.6,81.19,1004
2019,4,8,84,126,0.6,65.47,1005
2019,4,9,96,41,0.7,83.41,994
2019,4,10,106,136,0.5,84.09,991
2019,4,11,91,241,0.7,85.28,1000
2019,4,12,52,398,0.6,78.17,1009
2019,4,13,108,26,0.7,96.21,1001
2019,4,14,56,315,0.5,82.61,997
2019,4,15,36,1,0.8,98.11,983
2019,4,16,90,22,1.0,91.95,977
2019,4,17,101,101,1.0,81.49,998
2019,4,18,88,205,0.5,75.51,1011
2019,4,19,57,5,1.1,95.90,999
2019,4,20,97,27,0.8,97.40,1004
2019,4,21,103,23,0.7,97.50,1009
2019,4,22,55,2,0.3,97.49,1007
2019,4,23,40,164,0.6,98.60,1000
2019,4,24,103,77,0.4,95.68,990
2019,4,25,108,42,0.7,88.26,993
2019,4,26,80,246,0.4,80.24,1002
2019,4,27,35,164,1.0,98.23,992
2019,4,28,114,188,0.6,86.05,995
2019,4,29,99,245,0.9,73.83,1003
2019,4,30,133,158,0.7,71.33,1005
2019,5,1,75,360,0.7,70.47,1008
2019,5,2,59,339,0.5,77.36,1008
2019,5,3,79,300,0.4,70.60,1006
2019,5,4,53,1,0.4,96.13,999
2019,5,5,116,189,0.3,86.02,998
2019,5,6,112,206,0.6,86.82,1002
2019,5,7,72,317,0.5,78.63,1003
2019,5,8,47,442,0.6,77.01,1002
2019,5,9,110,184,0.8,81.67,1008
2019,5,10,112,23,0.4,86.79,1009
2019,5,11,113,73,0.6,90.49,994
2019,5,12,130,177,0.6,79.43,998
2019,5,13,109,152,0.6,82.41,1003
2019,5,14,71,41,1.2,88.83,996
2019,5,15,80,43,0.7,98.42,986
2019,5,16,105,17,0.5,89.69,993
2019,5,17,104,30,0.4,90.17,997
2019,5,18,84,36,0.9,90.01,993
2019,5,19,112,146,0.5,84.10,1004
2019,5,20,41,1,0.5,96.71,996
2019,5,21,59,3,0.6,91.97,983
2019,5,22,94,57,1.1,84.78,998
2019,5,23,137,191,0.5,81.68,1004
2019,5,24,53,1,0.5,94.82,997
2019,5,25,62,443,0.5,69.23,1002
2019,5,26,63,3,0.5,87.87,1000
2019,5,27,86,63,0.4,95.86,997
2019,5,28,80,362,0.5,74.54,998
2019,5,29,114,22,0.6,88.33,996
2019,5,30,105,7,0.4,93.20,994
2019,5,31,95,16,0.4,94.73,993
2019,6,1,105,287,0.4,84.12,998
2019,6,2,64,2,0.7,97.01,995
2019,6,3,114,77,0.6,94.46,993
2019,6,4,98,332,0.5,81.91,997
2019,6,5,72,47,0.6,93.01,998
2019,6,6,37,2,0.6,98.85,993
2019,6,7,51,402,0.3,81.50,997
2019,6,8,80,371,0.6,79.17,1002
2019,6,9,45,504,0.5,72.39,1009
2019,6,10,56,450,0.3,75.07,1008
2019,6,11,110,218,0.5,87.67,1000
2019,6,12,44,508,0.7,79.15,999
2019,6,13,120,156,0.5,81.05,1006
2019,6,14,89,204,0.6,92.48,996
2019,6,15,59,451,0.5,85.57,998
2019,6,16,122,50,0.6,90.16,997
2019,6,17,78,242,0.3,88.11,995
2019,6,18,123,304,0.5,79.58,999
2019,6,19,106,221,0.4,82.73,997
2019,6,20,103,223,0.4,85.40,993
2019,6,21,46,7,0.5,97.97,981
2019,6,22,90,91,0.9,85.90,983
2019,6,23,91,290,0.6,82.37,986
2019,6,24,73,388,0.4,78.94,993
2019,6,25,52,459,0.4,78.71,1002
