Year,Month,Day,DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
2018,1,1,34,13,0.8,81.59,999
2018,1,2,32,8,0.9,80.09,1001
2018,1,3,24,183,0.7,84.52,1010
2018,1,4,20,,1.4,97.73,988
2018,1,5,31,45,1.9,78.32,967
2018,1,6,28,141,1.6,67.96,986
2018,1,7,28,143,1.3,74.31,1004
2018,1,8,35,57,0.7,86.82,1005
2018,1,9,34,23,0.8,95.67,994
2018,1,10,19,251,1.1,76.84,1011
2018,1,11,34,70,0.8,98.30,1012
2018,1,12,36,60,1.0,99.75,1007
2018,1,13,38,39,1.3,99.55,995
2018,1,14,34,13,0.8,73.50,1014
2018,1,15,36,73,1.0,69.14,1023
2018,1,16,36,66,0.8,87.90,1015
2018,1,17,41,49,0.5,89.40,1012
2018,1,18,33,94,0.7,97.30,995
2018,1,19,29,149,1.0,90.18,996
2018,1,20,35,31,1.0,95.27,989
2018,1,21,20,277,0.8,81.39,1001
2018,1,22,23,222,0.9,66.94,1013
2018,1,23,32,16,1.1,89.52,1006
2018,1,24,33,128,1.0,92.51,987
2018,1,25,27,233,1.1,61.61,1000
2018,1,26,22,245,0.9,70.68,1014
2018,1,27,33,84,0.9,83.58,1017
2018,1,28,29,6,0.7,99.93,1006
2018,1,29,32,1,0.9,80.76,1012
2018,1,30,33,22,1.4,89.06,991
2018,1,31,24,256,1.3,86.40,996
2018,2,1,46,14,0.8,94.96,1003
2018,2,2,40,3,1.0,95.37,990
2018,2,3,28,232,1.2,69.05,1008
2018,2,4,52,47,1.0,88.79,1015
2018,2,5,42,6,1.4,97.22,991
2018,2,6,50,96,0.5,71.28,1013
2018,2,7,40,119,0.7,82.14,1015
2018,2,8,38,6,1.0,85.64,1000
2018,2,9,31,189,0.7,69.82,1016
2018,2,10,41,13,0.8,96.96,1014
2018,2,11,50,11,0.7,99.72,1005
2018,2,12,23,2,0.9,90.59,1002
2018,2,13,22,343,1.0,65.65,1022
2018,2,14,47,46,0.8,85.02,1010
2018,2,15,33,234,0.4,98.91,996
2018,2,16,12,3,0.5,99.94,985
2018,2,17,22,347,1.0,63.13,1008
2018,2,18,29,4,0.8,88.95,1006
2018,2,19,38,256,0.6,86.28,1019
2018,2,20,62,43,0.5,99.71,1012
2018,2,21,42,153,0.7,99.71,1007
2018,2,22,29,295,0.8,70.77,1017
2018,2,23,31,308,0.7,61.58,1020
2018,2,24,52,75,0.9,88.43,1000
