Year,Month,Day,Max Temp (F),Min Temp (F),Average Wind Speed (mph),Relative Humidity (%),Windchill Effect (F),Users Thermostat (F)
2015,1,1,28,5,0.4,76,33,68
2015,1,2,34,14,0.9,73,36,66
2015,1,3,14,5,0.9,55,15,66
2015,1,4,47,8,0.9,87,50,61
2015,1,5,47,9,1.3,82,49,62
2015,1,6,9,3,1.1,64,9,66
2015,1,7,11,-3,0.7,66,13,67
2015,1,8,8,0,0.9,72,9,68
2015,1,9,38,2,1.1,85,40,69
2015,1,10,22,13,0.9,72,24,68
2015,1,11,24,13,0.9,73,26,70
2015,1,12,39,24,0.7,95,42,70
2015,1,13,27,1,1.1,77,28,66
2015,1,14,21,-1,1.1,75,22,67
2015,1,15,28,10,0.9,89,30,69
2015,1,16,36,11,0.9,93,38,67
2015,1,17,11,2,1.3,71,10,68
2015,1,18,42,2,1.1,85,44,68
2015,1,19,46,34,1.1,100,48,61
2015,1,20,36,18,1.1,81,37,68
2015,1,21,20,10,0.9,64,21,70
2015,1,22,23,8,0.9,79,25,67
2015,1,23,26,19,0.9,74,28,67
2015,1,24,50,26,0.7,93,53,65
2015,1,25,47,14,1.3,81,49,60
2015,1,26,20,11,0.9,58,21,68
2015,1,27,26,13,1.6,80,25,67
2015,1,28,34,13,0.9,90,36,68
2015,1,29,23,10,1.1,83,24,70
2015,1,30,27,15,0.7,83,30,67
2015,1,31,34,22,1.1,94,35,67
2015,2,1,22,4,1.8,81,20,66
2015,2,2,21,0,0.9,77,22,68
2015,2,3,21,5,1.3,86,21,69
2015,2,4,29,0,1.3,81,29,70
2015,2,5,39,11,0.9,96,41,69
2015,2,6,12,4,1.1,81,12,68
2015,2,7,20,1,1.1,81,21,67
2015,2,8,11,2,0.9,80,12,66
2015,2,9,10,0,1.1,81,10,70
2015,2,10,21,6,0.9,84,22,66
2015,2,11,13,4,1.1,84,13,66
2015,2,12,25,9,1.1,84,26,68
2015,2,13,15,2,1.1,83,15,68
2015,2,14,15,-3,0.9,78,16,68
2015,2,15,35,8,1.8,91,35,67
2015,2,16,10,6,2,83,7,67
2015,2,17,21,6,0.9,82,22,68
2015,2,18,26,8,0.7,86,29,68
2015,2,19,33,21,0.9,92,35,70
2015,2,20,24,10,1.6,85,23,66
2015,2,21,28,6,1.1,81,29,67
2015,2,22,42,26,0.9,96,44,68
2015,2,23,29,-2,0.9,88,31,67
2015,2,24,11,-7,1.1,75,11,66
2015,2,25,36,7,1.3,87,37,68
2015,2,26,19,12,0.9,79,20,67
2015,2,27,18,7,0.9,75,19,69
2015,2,28,25,5,1.1,76,26,70
2015,3,1,29,9,1.1,77,30,69
2015,3,2,32,18,0.9,91,34,69
2015,3,3,18,8,1.6,78,17,67
2015,3,4,39,13,0.9,91,41,70
2015,3,5,32,9,1.1,82,33,69
2015,3,6,19,1,0.9,71,20,67
2015,3,7,30,8,0.9,80,32,69
2015,3,8,33,19,0.9,80,35,68
2015,3,9,32,16,0.9,86,34,70
2015,3,10,37,18,0.9,87,39,67
2015,3,11,48,28,0.9,96,51,64
2015,3,12,29,12,1.3,73,29,67
2015,3,13,18,7,1.3,65,18,68
2015,3,14,32,10,0.7,70,35,67
2015,3,15,29,21,1.8,90,28,68
2015,3,16,23,18,1.8,84,22,67
2015,3,17,34,12,0.7,81,37,70
2015,3,18,26,18,1.8,89,25,67
2015,3,19,24,15,1.6,88,23,70
2015,3,20,30,14,1.3,85,30,70
2015,3,21,36,17,0.9,93,38,69
2015,3,22,34,7,1.8,92,34,69
2015,3,23,17,7,1.3,84,17,70
2015,3,24,36,12,0.7,89,39,67
2015,3,25,40,19,1.1,93,42,69
2015,3,26,40,26,0.7,97,43,66
2015,3,27,38,33,0.4,99,43,66
2015,3,28,33,21,1.1,90,34,69
2015,3,29,35,19,1.1,83,36,70
2015,3,30,34,17,1.1,84,35,67
2015,3,31,40,30,0.7,95,43,70
2015,4,1,35,21,0.9,77,37,67
2015,4,2,35,17,1.1,69,36,69
2015,4,3,53,27,0.4,98,53,62
2015,4,4,42,23,0.9,96,44,67
2015,4,5,33,18,1.1,65,34,70
2015,4,6,35,15,0.9,66,37,70
2015,4,7,34,28,0.4,90,39,69
2015,4,8,34,22,0.7,74,37,68
2015,4,9,36,20,0.4,71,41,69
2015,4,10,45,19,1.1,87,47,62
2015,4,11,50,36,0.9,90,53,64
2015,4,12,49,34,0.9,81,52,65
2015,4,13,53,33,0.7,87,53,64
2015,4,14,47,37,0.7,97,50,63
2015,4,15,49,24,0.7,78,52,61
2015,4,16,41,24,0.9,68,43,69
2015,4,17,56,31,0.9,88,56,65
2015,4,18,45,27,0.7,80,48,63
2015,4,19,44,27,0.7,73,47,65
2015,4,20,51,28,0.7,80,51,63
2015,4,21,42,34,1.3,97,43,67
2015,4,22,49,35,0.4,97,53,64
2015,4,23,41,33,0.7,95,44,68
2015,4,24,43,31,0.4,90,47,63
2015,4,25,44,30,0.4,88,48,61
2015,4,26,46,29,0.4,86,50,63
2015,4,27,37,32,0.7,95,40,66
2015,4,28,37,33,0.9,95,39,68
2015,4,29,44,32,0.9,89,46,61
2015,4,30,43,32,0.9,92,45,69
