Year,Month,Day,Max Temp (F),Min Temp (F),DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
2015,1,1,28.04,5.18,27,120,0.2,75.54,998
2015,1,2,34.34,13.64,30,127,0.4,73.16,993
2015,1,3,14,5.36,22,223,0.4,54.87,1017
2015,1,4,46.58,7.88,15,157,0.4,86.75,1001
2015,1,5,46.76,9.14,25,106,0.6,81.97,983
2015,1,6,9.32,2.84,24,190,0.5,64.41,1000
2015,1,7,11.12,-2.92,29,128,0.3,66.43,992
2015,1,8,8.42,-0.22,23,259,0.4,72.34,999
2015,1,9,38.48,1.76,30,12,0.5,84.9,1000
2015,1,10,22.46,12.92,28,210,0.4,71.51,1004
2015,1,11,24.44,12.92,29,144,0.4,73.26,1017
2015,1,12,39.02,24.44,31,7,0.3,95.11,1006
2015,1,13,26.6,0.86,34,160,0.5,76.78,1010
2015,1,14,21.2,-0.58,22,246,0.5,74.64,1015
2015,1,15,28.04,10.22,31,149,0.4,88.96,1001
2015,1,16,35.78,10.94,29,141,0.4,93.19,983
2015,1,17,10.94,1.76,28,238,0.6,71.1,1000
2015,1,18,41.72,1.58,36,140,0.5,84.84,1010
2015,1,19,45.5,33.8,22,3,0.5,99.73,988
2015,1,20,36.32,17.78,26,239,0.5,81.15,983
2015,1,21,20.48,10.22,21,279,0.4,63.55,1000
2015,1,22,23,8.42,30,1,0.4,79.46,1005
2015,1,23,25.7,18.86,24,251,0.4,73.53,1000
2015,1,24,49.64,25.7,39,48,0.3,92.61,983
2015,1,25,47.48,14.18,40,49,0.6,81.28,972
2015,1,26,19.94,10.58,22,306,0.4,57.61,1002
2015,1,27,25.88,13.1,33,21,0.7,79.86,990
2015,1,28,34.34,13.28,29,14,0.4,89.79,985
2015,1,29,23.36,9.86,22,305,0.5,82.69,1003
2015,1,30,26.96,14.72,44,74,0.3,83.32,996
2015,1,31,33.62,21.92,34,44,0.5,94.48,976
2015,2,1,21.92,3.56,40,164,0.8,80.58,987
2015,2,2,20.84,0.14,36,116,0.4,77.29,994
2015,2,3,21.2,5,29,290,0.6,86.26,988
2015,2,4,28.94,0.14,38,193,0.6,81.01,1008
2015,2,5,38.66,10.94,38,2,0.4,96.36,993
2015,2,6,11.84,3.56,31,287,0.5,81.24,994
2015,2,7,19.76,1.4,52,100,0.5,81.28,1000
2015,2,8,11.12,2.48,55,91,0.4,80.34,1008
2015,2,9,10.22,-0.04,53,121,0.5,80.8,1010
2015,2,10,20.84,6.44,51,27,0.4,84.38,1002
2015,2,11,13.1,3.74,44,163,0.5,84.38,999
2015,2,12,24.8,8.78,39,219,0.5,83.88,990
2015,2,13,15.44,2.3,52,63,0.5,83.33,983
2015,2,14,15.44,-3.28,33,312,0.4,78.21,1000
2015,2,15,35.24,8.24,30,43,0.8,90.66,966
2015,2,16,10.22,6.08,55,77,0.9,82.76,970
2015,2,17,20.84,5.72,37,272,0.4,82.1,997
2015,2,18,25.88,8.24,53,117,0.3,85.65,995
2015,2,19,32.54,20.66,43,10,0.4,91.59,985
2015,2,20,24.26,10.4,42,248,0.7,84.59,988
2015,2,21,28.22,6.44,35,337,0.5,81.18,1013
2015,2,22,41.9,25.7,48,3,0.4,96.42,1003
2015,2,23,29.3,-2.2,67,49,0.4,88.17,995
2015,2,24,11.48,-7.06,39,347,0.5,75.27,1000
2015,2,25,35.78,6.62,46,35,0.6,87.03,990
2015,2,26,19.4,11.66,58,93,0.4,78.87,998
