,Year,Month,Day,Max Temp (F),Min Temp (F),Average Wind Speed (mph),Relative Humidity (%),Heat Index (F),Users Thermostat (F)
0,2015,1,1,44.0,27.0,4.0,40,42,69
1,2015,1,2,48.0,26.0,4.0,40,46,61
2,2015,1,3,51.0,29.0,1.8,45,50,65
3,2015,1,4,51.0,31.0,2.5,52,50,60
4,2015,1,5,59.0,34.0,4.3,51,58,60
5,2015,1,6,68.0,38.0,5.4,53,68,68
6,2015,1,7,72.0,43.0,5.8,53,72,72
7,2015,1,8,69.0,43.0,2.7,50,68,68
8,2015,1,9,65.0,42.0,2.5,52,64,65
9,2015,1,10,65.0,47.0,2.5,66,64,64
10,2015,1,11,55.0,48.0,2.0,92,55,60
11,2015,1,12,60.0,46.0,2.9,88,60,61
12,2015,1,13,60.0,46.0,7.2,62,60,63
13,2015,1,14,59.0,41.0,5.6,53,58,64
14,2015,1,15,59.0,36.0,4.7,47,58,60
15,2015,1,16,59.0,37.0,2.5,40,58,64
16,2015,1,17,64.0,38.0,3.4,43,63,62
17,2015,1,18,62.0,42.0,2.2,48,61,61
18,2015,1,19,65.0,43.0,2.5,47,64,60
19,2015,1,20,59.0,41.0,4.9,63,58,65
20,2015,1,21,62.0,46.0,8.5,43,61,61
21,2015,1,22,56.0,37.0,6.3,30,54,64
22,2015,1,23,61.0,36.0,4.7,32,60,62
23,2015,1,24,68.0,48.0,8.7,43,68,68
24,2015,1,25,72.0,46.0,7.8,49,72,72
25,2015,1,26,71.0,46.0,4.5,59,71,71
26,2015,1,27,61.0,50.0,2.2,81,61,62
27,2015,1,28,62.0,48.0,3.4,77,62,61
28,2015,1,29,65.0,53.0,5.1,56,64,61
29,2015,1,30,58.0,49.0,4.0,84,58,62
30,2015,1,31,64.0,48.0,5.6,69,64,64
31,2015,2,1,64.0,43.0,3.8,40,63,61
32,2015,2,2,66.0,44.0,2.2,38,65,65
33,2015,2,3,68.0,44.0,2.5,43,68,68
34,2015,2,4,70.0,46.0,2.0,41,70,70
35,2015,2,5,70.0,46.0,2.7,43,70,70
36,2015,2,6,73.0,46.0,4.0,42,72,72
37,2015,2,7,76.0,59.0,6.3,55,76,76
38,2015,2,8,75.0,52.0,3.1,70,75,75
39,2015,2,9,79.0,52.0,6.7,57,79,79
40,2015,2,10,73.0,55.0,5.8,38,72,72
41,2015,2,11,72.0,53.0,7.2,39,72,72
42,2015,2,12,73.0,45.0,4.5,37,72,72
43,2015,2,13,77.0,50.0,4.0,32,76,76
44,2015,2,14,77.0,48.0,2.9,34,76,76
45,2015,2,15,77.0,51.0,3.6,36,76,76
46,2015,2,16,74.0,48.0,3.6,35,74,74
47,2015,2,17,66.0,47.0,4.3,28,65,65
48,2015,2,18,72.0,43.0,2.9,25,71,71
49,2015,2,19,73.0,48.0,2.9,31,72,72
50,2015,2,20,73.0,49.0,3.4,35,72,72
51,2015,2,21,70.0,48.0,3.4,34,69,69
52,2015,2,22,60.0,42.0,6.0,67,60,62
53,2015,2,23,48.0,38.0,6.0,70,47,65
54,2015,2,24,65.0,44.0,6.7,34,64,65
55,2015,2,25,70.0,41.0,3.8,33,69,69
56,2015,2,26,72.0,44.0,4.0,38,72,72
57,2015,2,27,64.0,46.0,5.4,48,63,63
58,2015,2,28,63.0,49.0,9.8,62,62,63
59,2015,3,1,56.0,46.0,3.8,78,56,65
60,2015,3,2,58.0,43.0,6.5,78,58,64
61,2015,3,3,56.0,40.0,2.5,65,55,62
62,2015,3,4,60.0,41.0,6.3,39,59,62
63,2015,3,5,64.0,39.0,4.5,33,63,60
64,2015,3,6,73.0,42.0,6.5,31,72,72
65,2015,3,7,75.0,45.0,6.0,29,74,74
66,2015,3,8,76.0,49.0,3.1,31,76,76
67,2015,3,9,77.0,54.0,4.7,28,76,76
68,2015,3,10,76.0,50.0,3.8,27,76,76
69,2015,3,11,70.0,55.0,4.5,34,69,69
70,2015,3,12,78.0,51.0,6.7,47,78,78
71,2015,3,13,80.0,59.0,7.2,38,80,79
72,2015,3,14,81.0,54.0,2.9,35,80,79
73,2015,3,15,82.0,55.0,3.1,33,81,79
74,2015,3,16,83.0,56.0,3.1,32,81,79
75,2015,3,17,81.0,56.0,4.0,35,80,79
76,2015,3,18,78.0,60.0,1.8,44,78,78
77,2015,3,19,79.0,58.0,6.3,35,78,78
78,2015,3,20,80.0,51.0,2.9,26,80,79
79,2015,3,21,85.0,53.0,6.9,25,82,81
80,2015,3,22,80.0,59.0,9.4,36,80,79
81,2015,3,23,78.0,56.0,6.5,44,78,78
82,2015,3,24,80.0,58.0,4.3,30,80,79
83,2015,3,25,79.0,62.0,8.3,31,78,78
84,2015,3,26,80.0,55.0,5.8,25,80,79
85,2015,3,27,87.0,56.0,3.4,25,84,83
86,2015,3,28,91.0,57.0,4.5,22,88,85
87,2015,3,29,88.0,61.0,4.0,21,85,82
88,2015,3,30,89.0,60.0,3.6,21,85,80
89,2015,3,31,90.0,59.0,9.2,21,86,82
90,2015,4,1,81.0,64.0,8.3,21,79,79
