Year,Month,Day,DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
2019,1,1,20,300,3.7,30.37,947
2019,1,2,18,305,3.2,28.17,950
2019,1,3,20,292,1.7,38.15,949
2019,1,4,20,302,1.4,40.91,945
2019,1,5,47,19,1.2,55.18,941
2019,1,6,38,162,2.9,70.52,941
2019,1,7,31,4,2.1,77.23,948
2019,1,8,42,164,2,64.36,949
2019,1,9,22,302,1.2,51.92,947
2019,1,10,23,292,1.5,50,946
2019,1,11,39,198,1.8,48.96,946
2019,1,12,52,111,2.2,45.41,945
2019,1,13,23,308,2.7,47.56,946
2019,1,14,50,64,2.1,64.06,945
2019,1,15,36,1,1.1,85.8,943
2019,1,16,59,90,2.3,78.67,947
2019,1,17,38,17,4.4,77.97,944
2019,1,18,27,274,2.4,55.46,949
2019,1,19,34,264,1.6,39.37,953
2019,1,20,50,150,1.8,50.27,944
2019,1,21,30,121,5.5,46.02,939
2019,1,22,21,340,4.4,33.18,951
2019,1,23,23,321,1.3,36.6,952
2019,1,24,22,337,2.5,45.93,950
2019,1,25,28,295,2.3,36.02,950
2019,1,26,24,319,3.2,35.3,953
2019,1,27,37,264,1.4,39.51,948
2019,1,28,37,225,2.5,40.03,945
2019,1,29,55,154,1.7,35.06,942
2019,1,30,40,234,2,33.55,942
2019,1,31,59,97,1.3,36.8,942
2019,2,1,47,195,1.9,51.08,941
2019,2,2,22,1,5.2,70.96,937
2019,2,3,47,184,4,68.48,936
2019,2,4,45,63,4.9,69.04,934
2019,2,5,47,71,5.2,62.85,934
2019,2,6,36,286,3.4,41.23,941
2019,2,7,28,340,1.5,31.44,950
2019,2,8,30,336,1.4,32.94,945
2019,2,9,43,237,3.4,49.02,939
2019,2,10,34,213,5.4,61.78,937
2019,2,11,29,339,1.6,35.24,946
2019,2,12,55,235,1.4,29.77,947
2019,2,13,63,37,2,47.9,940
2019,2,14,23,206,4.2,81.11,936
2019,2,15,69,153,5.2,68.86,938
2019,2,16,46,226,2.7,57.38,939
2019,2,17,53,135,2.1,63.11,938
