Year,Month,Day,Max Temp (F),Min Temp (F)
2015,1,1,44,27
2015,1,2,48,26
2015,1,3,51,29
2015,1,4,51,31
2015,1,5,59,34
2015,1,6,68,38
2015,1,7,72,43
2015,1,8,69,43
2015,1,9,65,42
2015,1,10,65,47
2015,1,11,55,48
2015,1,12,60,46
2015,1,13,60,46
2015,1,14,59,41
2015,1,15,59,36
2015,1,16,59,37
2015,1,17,64,38
2015,1,18,62,42
2015,1,19,65,43
2015,1,20,59,41
2015,1,21,62,46
2015,1,22,56,37
2015,1,23,61,36
2015,1,24,68,48
2015,1,25,72,46
2015,1,26,71,46
2015,1,27,61,50
2015,1,28,62,48
2015,1,29,65,53
2015,1,30,58,49
2015,1,31,64,48
2015,2,1,64,43
2015,2,2,66,44
2015,2,3,68,44
2015,2,4,70,46
2015,2,5,70,46
2015,2,6,73,46
2015,2,7,76,59
2015,2,8,75,52
2015,2,9,79,52
2015,2,10,73,55
2015,2,11,72,53
2015,2,12,73,45
2015,2,13,77,50
2015,2,14,77,48
2015,2,15,77,51
2015,2,16,74,48
2015,2,17,66,47
2015,2,18,72,43
2015,2,19,73,48
2015,2,20,73,49
2015,2,21,70,48
2015,2,22,60,42
2015,2,23,48,38
2015,2,24,65,44
2015,2,25,70,41
2015,2,26,72,44
2015,2,27,64,46
2015,2,28,63,49
2015,3,1,56,46
2015,3,2,58,43
2015,3,3,56,40
2015,3,4,60,41
2015,3,5,64,39
2015,3,6,73,42
2015,3,7,75,45
2015,3,8,76,49
2015,3,9,77,54
2015,3,10,76,50
2015,3,11,70,55
2015,3,12,78,51
2015,3,13,80,59
2015,3,14,81,54
2015,3,15,82,55
2015,3,16,83,56
2015,3,17,81,56
2015,3,18,78,60
2015,3,19,79,58
2015,3,20,80,51
2015,3,21,85,53
2015,3,22,80,59
2015,3,23,78,56
2015,3,24,80,58
2015,3,25,79,62
2015,3,26,80,55
2015,3,27,87,56
2015,3,28,91,57
2015,3,29,88,61
2015,3,30,89,60
2015,3,31,90,59
2015,4,1,81,64
2015,4,2,73,60
2015,4,3,70,53
2015,4,4,79,47
2015,4,5,78,60
2015,4,6,72,55
2015,4,7,71,53
2015,4,8,68,49
2015,4,9,71,48
2015,4,10,76,51
2015,4,11,81,52
2015,4,12,86,60
2015,4,13,89,57
2015,4,14,85,54
2015,4,15,67,49
2015,4,16,73,50
2015,4,17,81,52
2015,4,18,86,56
2015,4,19,87,61
2015,4,20,89,61
2015,4,21,84,60
2015,4,22,79,57
2015,4,23,77,56
2015,4,24,79,53
2015,4,25,72,52
2015,4,26,74,55
2015,4,27,81,59
2015,4,28,86,62
2015,4,29,92,62
2015,4,30,94,66
2015,5,1,95,67
2015,5,2,93,67
2015,5,3,90,65
2015,5,4,81,66
2015,5,5,86,61
2015,5,6,85,63
2015,5,7,79,58
2015,5,8,64,51
2015,5,9,73,50
2015,5,10,82,56
2015,5,11,88,60
2015,5,12,87,66
2015,5,13,85,65
2015,5,14,74,57
2015,5,15,70,53
2015,5,16,77,51
2015,5,17,80,58
2015,5,18,72,60
2015,5,19,82,54
2015,5,20,83,61
2015,5,21,82,62
2015,5,22,75,57
2015,5,23,80,58
2015,5,24,81,62
2015,5,25,86,60
2015,5,26,91,69
2015,5,27,92,69
2015,5,28,96,70
2015,5,29,98,74
2015,5,30,101,72
2015,5,31,104,72
2015,6,1,97,77
2015,6,2,95,69
2015,6,3,93,69
2015,6,4,91,72
2015,6,5,90,67
2015,6,6,90,69
2015,6,7,93,70
2015,6,8,99,74
2015,6,9,92,76
2015,6,10,96,72
2015,6,11,96,74
2015,6,12,100,78
2015,6,13,103,81
2015,6,14,105,80
2015,6,15,108,79
2015,6,16,107,81
2015,6,17,108,73
2015,6,18,106,76
2015,6,19,109,76
2015,6,20,112,80
2015,6,21,110,82
2015,6,22,107,79
2015,6,23,107,76
2015,6,24,109,75
2015,6,25,110,78
2015,6,26,111,88
2015,6,27,111,87
2015,6,28,108,87
2015,6,29,109,89
2015,6,30,110,92
2015,7,1,106,87
2015,7,2,103,81
2015,7,3,108,86
2015,7,4,101,89
2015,7,5,103,85
2015,7,6,99,75
2015,7,7,99,75
2015,7,8,102,82
2015,7,9,94,77
2015,7,10,93,71
2015,7,11,96,72
2015,7,12,99,74
2015,7,13,103,75
2015,7,14,104,75
2015,7,15,102,73
2015,7,16,104,75
2015,7,17,105,76
2015,7,18,95,76
2015,7,19,93,73
2015,7,20,85,72
2015,7,21,98,74
2015,7,22,101,78
2015,7,23,100,76
2015,7,24,100,77
2015,7,25,103,73
2015,7,26,103,73
2015,7,27,101,79
2015,7,28,102,78
2015,7,29,102,76
2015,7,30,104,84
2015,7,31,105,87
2015,8,1,92,76
2015,8,2,102,71
2015,8,3,106,77
2015,8,4,106,76
2015,8,5,106,84
2015,8,6,106,76
2015,8,7,97,73
2015,8,8,99,76
2015,8,9,101,71
2015,8,10,104,78
2015,8,11,104,81
2015,8,12,98,82
2015,8,13,103,82
2015,8,14,104,78
2015,8,15,109,80
2015,8,16,111,81
2015,8,17,110,81
2015,8,18,108,82
2015,8,19,106,81
2015,8,20,107,80
2015,8,21,104,81
2015,8,22,104,80
2015,8,23,106,78
2015,8,24,106,78
2015,8,25,96,82
2015,8,26,95,83
2015,8,27,100,80
2015,8,28,104,79
2015,8,29,107,81
2015,8,30,101,84
2015,8,31,103,76
2015,9,1,99,74
2015,9,2,100,80
2015,9,3,99,80
2015,9,4,96,74
2015,9,5,95,71
2015,9,6,96,68
2015,9,7,100,77
2015,9,8,101,77
2015,9,9,102,79
2015,9,10,103,79
2015,9,11,103,78
2015,9,12,102,75
2015,9,13,100,78
2015,9,14,97,77
2015,9,15,84,72
2015,9,16,87,71
2015,9,17,88,66
2015,9,18,90,67
2015,9,19,94,67
2015,9,20,98,67
2015,9,21,98,70
2015,9,22,94,77
2015,9,23,95,74
2015,9,24,101,76
2015,9,25,101,73
2015,9,26,99,75
2015,9,27,100,74
2015,9,28,100,75
2015,9,29,99,71
2015,9,30,99,71
2015,10,1,98,70
2015,10,2,86,69
2015,10,3,85,68
2015,10,4,85,66
2015,10,5,67,58
2015,10,6,76,58
2015,10,7,84,62
2015,10,8,92,70
2015,10,9,92,73
2015,10,10,92,69
2015,10,11,92,67
2015,10,12,94,69
2015,10,13,93,68
2015,10,14,92,69
2015,10,15,88,70
2015,10,16,78,66
2015,10,17,79,64
2015,10,18,77,59
2015,10,19,74,57
2015,10,20,77,59
2015,10,21,77,58
2015,10,22,78,58
2015,10,23,79,63
2015,10,24,80,55
2015,10,25,75,59
2015,10,26,81,55
2015,10,27,78,56
2015,10,28,78,60
2015,10,29,75,53
2015,10,30,74,59
2015,10,31,79,58
2015,11,1,79,53
2015,11,2,85,53
2015,11,3,65,53
2015,11,4,55,44
2015,11,5,59,43
2015,11,6,65,44
2015,11,7,64,44
2015,11,8,66,42
2015,11,9,70,45
2015,11,10,60,47
2015,11,11,61,43
2015,11,12,65,39
2015,11,13,69,44
2015,11,14,68,42
2015,11,15,67,40
2015,11,16,58,46
2015,11,17,58,42
2015,11,18,63,40
2015,11,19,69,43
2015,11,20,75,46
2015,11,21,67,46
2015,11,22,66,41
2015,11,23,65,40
2015,11,24,74,40
2015,11,25,59,42
2015,11,26,55,40
2015,11,27,51,40
2015,11,28,51,35
2015,11,29,50,31
2015,11,30,51,31
2015,12,1,55,32
2015,12,2,59,34
2015,12,3,59,36
2015,12,4,60,37
