Year,Month,Day,Max Temp (F),Min Temp (F),Wind Speed (m/s),Relative Humidity (%)
2015,1,1,44,27,1.8,40
2015,1,2,48,26,1.8,40
2015,1,3,51,29,0.8,45
2015,1,4,51,31,1.1,52
2015,1,5,59,34,1.9,51
2015,1,6,68,38,2.4,53
2015,1,7,72,43,2.6,53
2015,1,8,69,43,1.2,50
2015,1,9,65,42,1.1,52
2015,1,10,65,47,1.1,66
2015,1,11,55,48,0.9,92
2015,1,12,60,46,1.3,88
2015,1,13,60,46,3.2,62
2015,1,14,59,41,2.5,53
2015,1,15,59,36,2.1,47
2015,1,16,59,37,1.1,40
2015,1,17,64,38,1.5,43
2015,1,18,62,42,1,48
2015,1,19,65,43,1.1,47
2015,1,20,59,41,2.2,63
2015,1,21,62,46,3.8,43
2015,1,22,56,37,2.8,30
2015,1,23,61,36,2.1,32
2015,1,24,68,48,3.9,43
2015,1,25,72,46,3.5,49
2015,1,26,71,46,2,59
2015,1,27,61,50,1,81
2015,1,28,62,48,1.5,77
2015,1,29,65,53,2.3,56
2015,1,30,58,49,1.8,84
2015,1,31,64,48,2.5,69
2015,2,1,64,43,1.7,40
2015,2,2,66,44,1,38
2015,2,3,68,44,1.1,43
2015,2,4,70,46,0.9,41
2015,2,5,70,46,1.2,43
2015,2,6,73,46,1.8,42
2015,2,7,76,59,2.8,55
2015,2,8,75,52,1.4,70
2015,2,9,79,52,3,57
2015,2,10,73,55,2.6,38
2015,2,11,72,53,3.2,39
2015,2,12,73,45,2,37
2015,2,13,77,50,1.8,32
2015,2,14,77,48,1.3,34
2015,2,15,77,51,1.6,36
2015,2,16,74,48,1.6,35
2015,2,17,66,47,1.9,28
2015,2,18,72,43,1.3,25
2015,2,19,73,48,1.3,31
2015,2,20,73,49,1.5,35
2015,2,21,70,48,1.5,34
2015,2,22,60,42,2.7,67
2015,2,23,48,38,2.7,70
2015,2,24,65,44,3,34
2015,2,25,70,41,1.7,33
2015,2,26,72,44,1.8,38
2015,2,27,64,46,2.4,48
2015,2,28,63,49,4.4,62
2015,3,1,56,46,1.7,78
2015,3,2,58,43,2.9,78
2015,3,3,56,40,1.1,65
2015,3,4,60,41,2.8,39
2015,3,5,64,39,2,33
2015,3,6,73,42,2.9,31
2015,3,7,75,45,2.7,29
2015,3,8,76,49,1.4,31
2015,3,9,77,54,2.1,28
2015,3,10,76,50,1.7,27
2015,3,11,70,55,2,34
2015,3,12,78,51,3,47
2015,3,13,80,59,3.2,38
2015,3,14,81,54,1.3,35
2015,3,15,82,55,1.4,33
2015,3,16,83,56,1.4,32
2015,3,17,81,56,1.8,35
2015,3,18,78,60,0.8,44
2015,3,19,79,58,2.8,35
2015,3,20,80,51,1.3,26
2015,3,21,85,53,3.1,25
2015,3,22,80,59,4.2,36
2015,3,23,78,56,2.9,44
2015,3,24,80,58,1.9,30
2015,3,25,79,62,3.7,31
2015,3,26,80,55,2.6,25
2015,3,27,87,56,1.5,25
2015,3,28,91,57,2,22
2015,3,29,88,61,1.8,21
2015,3,30,89,60,1.6,21
2015,3,31,90,59,4.1,21
2015,4,1,81,64,3.7,21
2015,4,2,73,60,3.9,20
2015,4,3,70,53,2.7,14
2015,4,4,79,47,1.9,14
2015,4,5,78,60,4.6,22
2015,4,6,72,55,4.2,32
2015,4,7,71,53,5.4,38
2015,4,8,68,49,2.8,34
2015,4,9,71,48,1.7,25
2015,4,10,76,51,1.7,19
2015,4,11,81,52,1.5,19
2015,4,12,86,60,2,17
2015,4,13,89,57,2.2,17
2015,4,14,85,54,6.2,20
2015,4,15,67,49,4.8,17
2015,4,16,73,50,2.3,22
2015,4,17,81,52,1.7,22
2015,4,18,86,56,1.4,16
2015,4,19,87,61,1.3,15
2015,4,20,89,61,2,15
2015,4,21,84,60,2.8,20
2015,4,22,79,57,2.4,34
2015,4,23,77,56,2.6,34
2015,4,24,79,53,5.6,53
2015,4,25,72,52,4.6,56
2015,4,26,74,55,4.6,30
2015,4,27,81,59,3.1,23
