Year,Month,Day,DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
2015,1,1,54,84,0.8,69.01,970
2015,1,2,28,294,1.2,50.13,970
2015,1,3,28,289,1.1,46.63,974
2015,1,4,25,295,1.6,50.08,980
2015,1,5,24,308,2.2,40.54,980
2015,1,6,23,316,2.4,40.13,975
2015,1,7,33,244,3.6,47.6,970
2015,1,8,49,148,3.3,51.01,970
2015,1,9,30,265,2.8,62.26,970
2015,1,10,45,44,2.6,60.17,970
2015,1,11,44,161,1.5,65.29,970
2015,1,12,51,104,1,76.6,970
2015,1,13,43,134,0.9,85.06,970
2015,1,14,27,306,1.3,64.33,971
2015,1,15,24,327,2.3,48.98,978
2015,1,16,23,340,1.9,38.47,972
2015,1,17,25,322,1.5,38.81,973
2015,1,18,39,241,1.7,43,975
2015,1,19,51,216,1.5,43.44,970
2015,1,20,45,217,1.5,42.7,967
2015,1,21,37,244,1.4,46.04,963
2015,1,22,23,358,2.6,35.87,974
2015,1,23,48,197,1.9,39.26,976
2015,1,24,25,339,2.8,32.05,970
2015,1,25,44,234,2.9,36.61,970
2015,1,26,63,34,2.3,47.13,970
2015,1,27,45,224,1,71.95,972
2015,1,28,50,183,1.1,64.7,970
2015,1,29,62,25,1.6,60.35,970
2015,1,30,30,1,3.2,90.68,965
2015,1,31,66,18,1,86.99,963
2015,2,1,44,228,1.2,61.47,970
2015,2,2,40,292,1.6,44.68,970
2015,2,3,37,295,1.5,46,970
2015,2,4,27,339,1.3,44.29,970
2015,2,5,28,348,1.5,40.25,970
2015,2,6,29,339,1.8,42.58,970
2015,2,7,31,340,1.2,36.37,970
2015,2,8,30,340,1.4,40.98,970
2015,2,9,29,356,1.4,46.67,970
2015,2,10,31,348,1.5,42.78,968
2015,2,11,28,369,2.9,38.63,970
2015,2,12,28,368,2.1,42.06,972
2015,2,13,30,355,1.9,42.34,970
2015,2,14,51,222,1.4,40.18,970
2015,2,15,70,168,1.4,52.68,970
2015,2,16,36,332,1.9,57.5,969
2015,2,17,30,372,1.9,32.9,970
2015,2,18,32,351,1.7,30.28,970
2015,2,19,58,217,1.2,32.93,970
2015,2,20,89,77,1,36.59,965
2015,2,21,59,242,1.7,44.54,961
2015,2,22,61,113,2.3,64.85,960
2015,2,23,74,112,2.4,70.58,968
2015,2,24,43,306,1.7,57.18,970
2015,2,25,36,367,1.8,40.8,970
2015,2,26,41,344,1.9,35.44,965
2015,2,27,45,317,2.3,40.73,960
2015,2,28,57,19,2.3,67.56,960
2015,3,1,80,15,2.5,69.79,967
2015,3,2,61,35,2.6,89.88,968
2015,3,3,84,225,1.3,66.85,965
2015,3,4,42,359,1.5,49.5,968
2015,3,5,39,388,2.2,34.24,973
2015,3,6,39,384,3.3,30.91,970
2015,3,7,41,356,2.1,34.85,970
2015,3,8,41,364,1.5,34.98,969
2015,3,9,43,356,1.4,35.46,965
2015,3,10,36,393,2.1,27.75,970
2015,3,11,84,221,1.9,30.04,970
2015,3,12,95,101,2,37.77,970
2015,3,13,48,339,2,40.95,970
2015,3,14,50,329,2.1,37.17,970
2015,3,15,37,390,2.2,32.9,970
2015,3,16,40,372,2.3,34.58,969
2015,3,17,48,330,1.8,38.91,968
2015,3,18,105,27,1.8,59.21,970
2015,3,19,88,54,1.1,78.95,970
2015,3,20,58,323,1.3,56.93,970
2015,3,21,47,366,1.6,39.3,970
2015,3,22,50,357,1.4,31.72,970
2015,3,23,48,371,1.8,30.23,970
2015,3,24,50,356,1.1,27.89,968
2015,3,25,46,368,1.5,33.62,969
2015,3,26,49,358,2.2,25.49,970
2015,3,27,46,394,2.2,25.09,970
2015,3,28,47,389,1.4,22.88,970
2015,3,29,69,306,1.5,22.87,970
2015,3,30,79,270,1.4,27.12,970
2015,3,31,52,363,1.9,27.28,965
2015,4,1,60,350,2.1,29.92,960
2015,4,2,87,270,2.3,29.75,964
2015,4,3,57,367,2.1,19.24,970
2015,4,4,78,310,1.8,22.18,965
2015,4,5,80,319,2.3,23.32,960
2015,4,6,60,354,2.2,26.24,961
2015,4,7,80,314,2.4,25.43,964
2015,4,8,56,385,2.4,30.11,965
2015,4,9,53,398,1.9,21.44,967
2015,4,10,63,373,1.2,16.85,965
2015,4,11,101,292,1.2,23.74,964
2015,4,12,90,280,2.6,27.76,962
2015,4,13,50,405,1.5,32.1,970
2015,4,14,61,368,2.6,26.76,966
2015,4,15,61,384,2.7,17.64,960
2015,4,16,52,421,2.6,18.95,970
2015,4,17,53,409,2.1,21.53,970
2015,4,18,53,408,2.1,19.12,965
2015,4,19,57,401,1.7,17.7,964
2015,4,20,56,402,1.6,15.87,960
2015,4,21,66,356,2.1,18.47,960
2015,4,22,66,369,2.1,28.37,960
2015,4,23,70,360,2.3,34.06,960
2015,4,24,116,176,1.8,46.44,963
2015,4,25,97,228,2.9,46,961
2015,4,26,103,152,2.5,57.29,960
2015,4,27,45,432,1.5,40.29,964
2015,4,28,55,407,2,32.2,970
2015,4,29,50,425,2.1,26.61,965
2015,4,30,64,373,1.4,19.34,960
2015,5,1,63,384,1.7,19.36,960
2015,5,2,69,366,1.4,23.19,960
2015,5,3,69,355,1.8,28.74,960
2015,5,4,73,292,1.7,56.82,960
2015,5,5,74,320,1.3,54.4,962
2015,5,6,74,359,2.4,39.41,960
2015,5,7,87,319,2.9,40.02,960
2015,5,8,85,197,3.2,39.61,963
2015,5,9,59,409,1.2,42.53,970
2015,5,10,59,410,1.7,29.7,968
2015,5,11,80,366,2.3,24.95,964
2015,5,12,123,280,2.9,23.7,962
