Year,Month,Day,DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
2017,1,1,34,68,2.3,86.36,962
2017,1,2,57,91,1.4,71.55,970
2017,1,3,54,127,1.2,59.75,970
2017,1,4,41,222,1.1,47.80,970
2017,1,5,26,278,1.9,65.85,965
2017,1,6,25,303,1.8,63.27,968
2017,1,7,42,103,2.3,43.46,975
2017,1,8,43,189,2.1,51.44,975
2017,1,9,44,35,1.3,64.85,970
2017,1,10,50,183,1.2,62.22,970
2017,1,11,53,184,0.9,55.91,970
2017,1,12,46,165,1.3,61.55,970
2017,1,13,47,9,1.3,56.78,970
2017,1,14,33,105,2.4,66.92,968
2017,1,15,48,14,1.8,84.35,969
2017,1,16,39,228,1.0,74.94,970
2017,1,17,54,189,1.2,62.57,970
2017,1,18,29,302,1.0,58.58,970
2017,1,19,49,5,1.2,71.58,965
2017,1,20,46,2,2.8,88.30,958
2017,1,21,44,210,3.4,77.23,960
2017,1,22,64,136,1.8,64.88,970
2017,1,23,30,21,2.0,80.05,965
2017,1,24,30,309,1.2,73.47,967
2017,1,25,29,330,1.1,53.87,974
2017,1,26,26,339,1.6,51.77,978
2017,1,27,24,361,3.4,45.99,980
2017,1,28,26,359,2.1,49.05,980
2017,1,29,26,343,3.1,49.10,980
2017,1,30,28,344,2.3,42.73,973
2017,1,31,30,336,1.4,44.15,970
2017,2,1,30,339,1.3,42.03,970
2017,2,2,54,235,1.5,43.61,970
2017,2,3,56,218,1.3,49.32,970
2017,2,4,31,332,1.4,47.29,970
2017,2,5,39,277,1.4,41.94,970
2017,2,6,74,37,1.4,59.94,970
2017,2,7,32,312,1.3,71.06,970
2017,2,8,31,326,1.2,67.77,970
2017,2,9,50,253,1.3,56.25,970
2017,2,10,47,266,1.4,51.41,970
2017,2,11,76,132,1.7,60.57,970
2017,2,12,74,90,2.0,68.27,970
2017,2,13,56,220,1.8,59.08,970
2017,2,14,59,221,1.3,56.17,970
2017,2,15,31,361,2.3,47.39,970
2017,2,16,44,325,1.3,41.85,970
2017,2,17,66,125,2.3,53.45,961
2017,2,18,39,2,3.8,75.75,958
2017,2,19,64,66,1.8,87.55,966
2017,2,20,39,331,0.9,71.08,975
2017,2,21,32,358,1.2,63.60,975
2017,2,22,61,220,1.7,59.58,966
2017,2,23,36,370,2.4,53.11,965
2017,2,24,36,372,1.1,39.19,970
2017,2,25,38,362,1.2,37.29,970
2017,2,26,56,264,1.3,52.00,964
2017,2,27,77,8,1.9,75.43,966
2017,2,28,40,272,1.8,79.02,968
2017,3,1,33,388,2.4,53.49,975
2017,3,2,34,397,3.9,38.77,974
2017,3,3,83,197,3.5,43.41,970
2017,3,4,64,279,2.2,44.66,970
2017,3,5,87,27,2.6,53.35,965
2017,3,6,33,399,1.6,52.21,970
2017,3,7,38,377,1.6,38.86,970
2017,3,8,40,366,1.4,39.77,970
2017,3,9,40,371,1.5,39.89,970
2017,3,10,45,358,1.6,39.74,970
2017,3,11,43,348,1.1,37.26,970
2017,3,12,39,370,1.4,39.10,970
2017,3,13,39,376,1.8,37.76,970
2017,3,14,38,382,1.4,38.29,970
2017,3,15,94,206,1.4,37.45,970
2017,3,16,47,354,1.4,36.43,970
2017,3,17,51,341,1.5,37.67,970
2017,3,18,46,362,1.6,35.02,970
2017,3,19,47,355,1.2,32.21,970
2017,3,20,77,269,1.8,37.48,970
2017,3,21,49,350,1.9,41.05,969
2017,3,22,117,141,1.9,55.04,966
2017,3,23,82,238,2.9,65.67,968
2017,3,24,45,379,1.3,40.61,970
2017,3,25,49,300,2.0,40.89,966
2017,3,26,48,369,1.4,39.67,967
2017,3,27,74,294,2.4,43.49,960
2017,3,28,46,382,2.1,44.44,960
2017,3,29,42,406,1.8,36.03,968
2017,3,30,53,365,3.3,31.00,962
2017,3,31,104,173,2.9,42.93,958
2017,4,1,74,329,1.3,44.18,966
2017,4,2,53,375,2.1,40.71,966
2017,4,3,54,367,2.7,38.61,960
2017,4,4,67,374,2.1,37.57,968
2017,4,5,43,409,2.2,27.14,970
2017,4,6,48,399,1.8,27.90,970
2017,4,7,101,258,1.6,26.05,970
2017,4,8,89,291,2.4,27.97,965
2017,4,9,84,313,1.5,33.41,965
2017,4,10,57,391,1.4,27.18,970
2017,4,11,86,293,1.6,25.37,968
2017,4,12,60,376,1.3,22.30,967
2017,4,13,80,329,2.1,27.38,962
2017,4,14,73,346,1.7,31.58,960
2017,4,15,70,357,1.4,26.12,965
2017,4,16,76,333,1.5,23.76,969
2017,4,17,70,358,1.4,22.63,970
2017,4,18,54,398,2.0,31.33,968
2017,4,19,57,396,1.7,30.01,970
2017,4,20,60,395,1.8,23.01,968
2017,4,21,53,413,2.3,21.68,965
2017,4,22,58,402,1.4,21.00,961
2017,4,23,73,353,3.0,21.31,960
2017,4,24,125,228,3.3,24.43,960
2017,4,25,93,313,3.8,35.40,960
2017,4,26,58,375,2.3,24.16,960
2017,4,27,96,253,2.4,29.47,959
2017,4,28,96,259,3.8,26.21,960
2017,4,29,48,446,2.3,23.29,965
2017,4,30,50,438,2.2,19.81,970
2017,5,1,59,410,1.5,16.82,965
2017,5,2,63,395,1.9,18.81,962
2017,5,3,60,393,1.6,22.05,964
2017,5,4,62,399,1.6,18.02,965
2017,5,5,63,387,2.3,16.71,960
2017,5,6,66,388,4.3,23.82,960
2017,5,7,131,192,3.1,34.22,960
2017,5,8,88,298,2.4,30.35,960
2017,5,9,106,243,1.5,48.66,966
2017,5,10,55,410,1.6,44.06,970
2017,5,11,59,402,1.6,37.17,970
2017,5,12,59,403,1.8,29.00,965
2017,5,13,60,411,2.7,22.78,960
2017,5,14,105,319,2.8,23.56,960
2017,5,15,63,409,3.6,26.76,960
2017,5,16,75,356,2.3,30.91,963
2017,5,17,65,388,2.4,33.93,960
2017,5,18,59,421,2.5,28.98,960
2017,5,19,50,450,2.0,24.53,962
2017,5,20,51,446,2.0,19.32,963
2017,5,21,50,443,2.2,15.17,961
2017,5,22,60,412,1.7,15.39,962
2017,5,23,54,434,2.2,14.84,962
2017,5,24,63,405,2.8,14.71,960
2017,5,25,69,398,3.5,16.95,960
2017,5,26,64,409,3.0,24.02,960
2017,5,27,58,423,1.8,20.18,965
2017,5,28,60,420,1.7,14.14,963
2017,5,29,90,338,2.1,11.66,960
2017,5,30,94,333,1.9,18.74,960
2017,5,31,84,320,2.7,28.70,960
2017,6,1,59,415,2.0,17.83,960
2017,6,2,64,400,1.8,18.96,960
2017,6,3,65,400,2.5,16.20,960
2017,6,4,61,411,2.4,17.76,960
2017,6,5,66,400,2.1,15.15,960
2017,6,6,65,396,2.0,16.53,962
2017,6,7,67,395,2.1,16.11,963
2017,6,8,79,355,2.0,12.13,963
2017,6,9,64,408,2.5,14.24,960
2017,6,10,57,432,2.5,18.19,960
2017,6,11,64,403,3.4,22.90,960
2017,6,12,61,429,2.7,20.72,962
2017,6,13,56,462,1.5,7.94,962
2017,6,14,55,466,1.7,5.65,960
2017,6,15,57,457,1.8,5.73,961
2017,6,16,63,444,1.8,6.55,961
2017,6,17,61,433,2.0,9.35,960
2017,6,18,80,374,2.0,11.04,960
2017,6,19,76,378,1.9,9.89,960
2017,6,20,109,299,2.3,13.05,960
2017,6,21,90,322,2.5,12.86,960
2017,6,22,68,390,2.8,18.76,960
2017,6,23,69,391,2.3,19.43,960
2017,6,24,101,309,1.9,16.11,960
2017,6,25,79,352,2.8,17.90,962
2017,6,26,72,375,2.3,18.88,965
2017,6,27,59,436,3.0,9.42,960
2017,6,28,62,423,2.3,16.90,960
2017,6,29,58,431,1.7,14.15,960
2017,6,30,62,420,1.6,13.02,960
2017,7,1,55,435,2.1,10.72,960
2017,7,2,59,409,2.2,15.44,967
2017,7,3,60,397,2.2,19.99,968
2017,7,4,58,419,2.1,19.69,965
2017,7,5,64,398,2.4,17.93,964
