"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","WDF5","WT01","WT02","WT03","WT07","WT08"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-01","0.00",,"45","31","  350",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-02","0.00",,"51","30","  210",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-03","0.00",,"52","29","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-04","0.00",,"62","34","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-05","0.00",,"72","41","   20",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-06","0.00",,"75","42","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-07","0.00",,"81","47","   80",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-08","0.00",,"70","52","   80",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-09","0.00",,"72","45","   60",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-10","0.02",,"64","53","   80",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-11","0.06",,"69","51","   30","    1",,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-12","0.08",,"64","52","  160","    1",,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-13","0.11",,"61","50","   30","    1",,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-14","0.00",,"64","43","  250",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-15","0.00",,"70","44","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-16","0.00",,"71","44","  100",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-17","0.00",,"71","43","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-18","0.00",,"72","45","   40",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-19","0.00",,"71","46","   40",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-20","0.00",,"72","47","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-21","0.00",,"72","50","  340",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-22","0.00",,"63","46","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-23","0.00",,"60","39","   40",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-24","0.00",,"75","42","   70",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-25","0.00",,"75","46","   50",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-26","0.02",,"70","53","   80",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-27","0.00",,"73","53","   50",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-28","0.00",,"74","50","  240",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-29","0.13",,"70","54","   50","    1",,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-30","0.51",,"58","53","  100","    1",,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-01-31","0.01",,"60","50","  140","    1",,,,"    1"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-01","0.00",,"68","47","  230","    1","    1",,,"    1"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-02","0.00",,"71","46","   30",,,,,
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","2015-02-03","0.00",,"74","47","   40",,,,,
