Year,Month,Day,Max Temp (F),Min Temp (F),Wind Speed (m/s),Relative Humidity (%)
2015,1,1,45,31,0.8,69
2015,1,2,51,30,1.2,50
2015,1,3,52,29,1.1,47
2015,1,4,62,34,1.6,50
2015,1,5,72,41,2.2,41
2015,1,6,75,42,2.4,40
2015,1,7,81,47,3.6,48
2015,1,8,70,52,3.3,51
2015,1,9,72,45,2.8,62
2015,1,10,64,53,2.6,60
2015,1,11,69,51,1.5,65
2015,1,12,64,52,1,77
2015,1,13,61,50,0.9,85
2015,1,14,64,43,1.3,64
2015,1,15,70,44,2.3,49
2015,1,16,71,44,1.9,38
2015,1,17,71,43,1.5,39
2015,1,18,72,45,1.7,43
2015,1,19,71,46,1.5,43
2015,1,20,72,47,1.5,43
2015,1,21,72,50,1.4,46
2015,1,22,63,46,2.6,36
2015,1,23,60,39,1.9,39
2015,1,24,75,42,2.8,32
2015,1,25,75,46,2.9,37
2015,1,26,70,53,2.3,47
2015,1,27,73,53,1,72
2015,1,28,74,50,1.1,65
2015,1,29,70,54,1.6,60
2015,1,30,58,53,3.2,91
2015,1,31,60,50,1,87
2015,2,1,68,47,1.2,61
2015,2,2,71,46,1.6,45
2015,2,3,74,47,1.5,46
2015,2,4,75,49,1.3,44
2015,2,5,81,49,1.5,40
2015,2,6,81,53,1.8,43
2015,2,7,77,50,1.2,36
2015,2,8,79,51,1.4,41
2015,2,9,81,53,1.4,47
2015,2,10,79,51,1.5,43
2015,2,11,79,54,2.9,39
2015,2,12,76,52,2.1,42
2015,2,13,79,51,1.9,42
2015,2,14,82,55,1.4,40
2015,2,15,75,56,1.4,53
2015,2,16,75,50,1.9,58
2015,2,17,74,52,1.9,33
2015,2,18,76,48,1.7,30
2015,2,19,76,50,1.2,33
2015,2,20,75,53,1,37
2015,2,21,75,50,1.7,45
2015,2,22,67,48,2.3,65
2015,2,23,63,53,2.4,71
2015,2,24,62,45,1.7,57
2015,2,25,67,42,1.8,41
2015,2,26,73,48,1.9,35
2015,2,27,73,49,2.3,41
2015,2,28,67,54,2.3,68
2015,3,1,70,58,2.5,70
2015,3,2,62,49,2.6,90
2015,3,3,63,45,1.3,67
2015,3,4,67,44,1.5,50
2015,3,5,74,45,2.2,34
2015,3,6,80,48,3.3,31
2015,3,7,81,54,2.1,35
2015,3,8,,52,1.5,35
2015,3,9,,54,1.4,35
2015,3,10,83,51,2.1,28
2015,3,11,84,56,1.9,30
2015,3,12,82,66,2,38
2015,3,13,85,57,2,41
2015,3,14,85,62,2.1,37
2015,3,15,86,62,2.2,33
2015,3,16,87,64,2.3,35
2015,3,17,87,62,1.8,39
2015,3,18,78,60,1.8,59
2015,3,19,67,55,1.1,79
2015,3,20,77,58,1.3,57
2015,3,21,82,57,1.6,39
2015,3,22,84,57,1.4,32
2015,3,23,82,55,1.8,30
2015,3,24,82,54,1.1,28
2015,3,25,86,55,1.5,34
2015,3,26,87,59,2.2,25
2015,3,27,90,58,2.2,25
2015,3,28,90,57,1.4,23
2015,3,29,92,59,1.5,23
2015,3,30,92,66,1.4,27
2015,3,31,91,60,1.9,27
2015,4,1,87,61,2.1,30
2015,4,2,83,58,2.3,30
2015,4,3,83,56,2.1,19
2015,4,4,85,58,1.8,22
2015,4,5,84,56,2.3,23
2015,4,6,82,53,2.2,26
2015,4,7,79,53,2.4,25
2015,4,8,75,53,2.4,30
2015,4,9,78,51,1.9,21
2015,4,10,82,50,1.2,17
2015,4,11,81,54,1.2,24
2015,4,12,82,54,2.6,28
2015,4,13,87,56,1.5,32
2015,4,14,90,61,2.6,27
2015,4,15,81,60,2.7,18
2015,4,16,74,51,2.6,19
2015,4,17,79,52,2.1,22
2015,4,18,87,53,2.1,19
2015,4,19,89,54,1.7,18
2015,4,20,89,58,1.6,16
2015,4,21,87,61,2.1,18
2015,4,22,84,53,2.1,28
2015,4,23,80,53,2.3,34
2015,4,24,72,57,1.8,46
2015,4,25,77,53,2.9,46
2015,4,26,69,52,2.5,57
2015,4,27,84,51,1.5,40
2015,4,28,88,62,2,32
2015,4,29,91,67,2.1,27
2015,4,30,95,65,1.4,19
2015,5,1,98,63,1.7,19
2015,5,2,95,64,1.4,23
