Year,Month,Day,Max Temp (F),Min Temp (F),Average Wind Speed (mph),Relative Humidity (%),Heat Index (F),Users Thermostat (F)
2015,1,1,45,31,1.8,69,44,70
2015,1,2,51,30,2.7,50,50,63
2015,1,3,52,29,2.5,47,50,65
2015,1,4,62,34,3.6,50,61,60
2015,1,5,72,41,4.9,41,72,72
2015,1,6,75,42,5.4,40,74,74
2015,1,7,81,47,8.1,48,81,80
2015,1,8,70,52,7.4,51,70,70
2015,1,9,72,45,6.3,62,72,72
2015,1,10,64,53,5.8,60,64,60
2015,1,11,69,51,3.4,65,69,69
2015,1,12,64,52,2.2,77,64,65
2015,1,13,61,50,2,85,61,61
2015,1,14,64,43,2.9,64,64,60
2015,1,15,70,44,5.1,49,70,70
2015,1,16,71,44,4.3,38,70,70
2015,1,17,71,43,3.4,39,70,70
2015,1,18,72,45,3.8,43,72,72
2015,1,19,71,46,3.4,43,70,70
2015,1,20,72,47,3.4,43,72,72
2015,1,21,72,50,3.1,46,72,72
2015,1,22,63,46,5.8,36,62,63
2015,1,23,60,39,4.3,39,59,63
2015,1,24,75,42,6.3,32,74,74
2015,1,25,75,46,6.5,37,74,74
2015,1,26,70,53,5.1,47,70,70
2015,1,27,73,53,2.2,72,73,73
2015,1,28,74,50,2.5,65,74,74
2015,1,29,70,54,3.6,60,70,70
2015,1,30,58,53,7.2,91,58,61
2015,1,31,60,50,2.2,87,60,62
2015,2,1,68,47,2.7,61,68,68
2015,2,2,71,46,3.6,45,70,70
2015,2,3,74,47,3.4,46,74,74
2015,2,4,75,49,2.9,44,74,74
2015,2,5,81,49,3.4,40,81,80
2015,2,6,81,53,4,43,81,80
2015,2,7,77,50,2.7,36,76,76
2015,2,8,79,51,3.1,41,79,79
2015,2,9,81,53,3.1,47,81,79
2015,2,10,79,51,3.4,43,79,79
2015,2,11,79,54,6.5,39,78,78
2015,2,12,76,52,4.7,42,76,76
2015,2,13,79,51,4.3,42,79,79
2015,2,14,82,55,3.1,40,81,80
2015,2,15,75,56,3.1,53,75,75
2015,2,16,75,50,4.3,58,75,75
2015,2,17,74,52,4.3,33,74,74
2015,2,18,76,48,3.8,30,76,76
2015,2,19,76,50,2.7,33,76,76
2015,2,20,75,53,2.2,37,74,74
2015,2,21,75,50,3.8,45,74,74
2015,2,22,67,48,5.1,65,66,66
2015,2,23,63,53,5.4,71,62,61
2015,2,24,62,45,3.8,57,62,61
2015,2,25,67,42,4,41,66,66
2015,2,26,73,48,4.3,35,72,72
2015,2,27,73,49,5.1,41,72,72
2015,2,28,67,54,5.1,68,67,67
2015,3,1,70,58,5.6,70,70,70
2015,3,2,62,49,5.8,90,62,63
2015,3,3,63,45,2.9,67,62,63
2015,3,4,67,44,3.4,50,66,66
2015,3,5,74,45,4.9,34,74,74
2015,3,6,80,48,7.4,31,80,79
2015,3,7,81,54,4.7,35,80,79
2015,3,8,85,52,3.4,35,84,82
2015,3,9,85,54,3.1,35,84,80
2015,3,10,83,51,4.7,28,81,80
2015,3,11,84,56,4.3,30,82,79
2015,3,12,82,66,4.5,38,81,80
2015,3,13,85,57,4.5,41,85,82
2015,3,14,85,62,4.7,37,84,82
2015,3,15,86,62,4.9,33,84,79
2015,3,16,87,64,5.1,35,86,83
2015,3,17,87,62,4,39,86,80
2015,3,18,78,60,4,59,78,78
2015,3,19,67,55,2.5,79,67,67
2015,3,20,77,58,2.9,57,77,77
2015,3,21,82,57,3.6,39,81,79
2015,3,22,84,57,3.1,32,82,79
2015,3,23,82,55,4,30,80,79
2015,3,24,82,54,2.5,28,80,79
2015,3,25,86,55,3.4,34,84,82
2015,3,26,87,59,4.9,25,84,83
2015,3,27,90,58,4.9,25,87,85
2015,3,28,90,57,3.1,23,87,84
2015,3,29,92,59,3.4,23,89,85
2015,3,30,92,66,3.1,27,90,76
2015,3,31,91,60,4.3,27,88,81
2015,4,1,87,61,4.7,30,85,81
2015,4,2,83,58,5.1,30,81,79
2015,4,3,83,56,4.7,19,81,80
2015,4,4,85,58,4,22,82,81
2015,4,5,84,56,5.1,23,81,79
2015,4,6,82,53,4.9,26,80,79
2015,4,7,79,53,5.4,25,78,78
2015,4,8,75,53,5.4,30,74,74
2015,4,9,78,51,4.3,21,77,77
2015,4,10,82,50,2.7,17,80,79
2015,4,11,81,54,2.7,24,79,79
2015,4,12,82,54,5.8,28,80,79
2015,4,13,87,56,3.4,32,85,83
2015,4,14,90,61,5.8,27,87,84
2015,4,15,81,60,6,18,79,79
2015,4,16,74,51,5.8,19,73,73
2015,4,17,79,52,4.7,22,78,78
2015,4,18,87,53,4.7,19,84,82
2015,4,19,89,54,3.8,18,85,80
2015,4,20,89,58,3.6,16,85,81
2015,4,21,87,61,4.7,18,84,82
2015,4,22,84,53,4.7,28,82,79
2015,4,23,80,53,5.1,34,80,79
2015,4,24,72,57,4,46,72,72
2015,4,25,77,53,6.5,46,77,77
2015,4,26,69,52,5.6,57,68,68
2015,4,27,84,51,3.4,40,83,82
2015,4,28,88,62,4.5,32,86,83
2015,4,29,91,67,4.7,27,88,81
2015,4,30,95,65,3.1,19,91,75
2015,5,1,98,63,3.8,19,95,74
2015,5,2,95,64,3.1,23,92,75
2015,5,3,91,69,4,29,89,86
2015,5,4,83,61,3.8,57,85,79
2015,5,5,81,65,2.9,54,82,79
2015,5,6,86,63,5.4,39,85,84
2015,5,7,83,56,6.5,40,82,80
2015,5,8,72,55,7.2,40,72,72
2015,5,9,74,50,2.7,43,74,74
2015,5,10,85,57,3.8,30,83,80
2015,5,11,92,63,5.1,25,89,85
2015,5,12,88,65,6.5,24,85,83
2015,5,13,87,66,4.9,35,86,83
2015,5,14,82,67,8.7,35,81,79
2015,5,15,68,53,6.3,53,68,68
2015,5,16,72,53,2.9,59,72,72
2015,5,17,82,60,2.9,39,81,80
2015,5,18,86,59,5.4,33,84,81
2015,5,19,84,61,3.4,36,83,81
2015,5,20,88,61,3.6,31,86,79
2015,5,21,86,66,6,33,84,80
2015,5,22,78,63,6.5,41,78,78
2015,5,23,79,59,3.8,42,79,79
2015,5,24,82,59,3.4,37,81,80
2015,5,25,88,61,3.8,33,86,85
2015,5,26,91,63,2.7,30,89,86
2015,5,27,92,66,2.9,27,90,74
2015,5,28,96,65,3.4,21,93,76
2015,5,29,98,66,3.1,19,95,74
2015,5,30,102,69,3.4,20,100,78
2015,5,31,102,71,4,21,101,78
2015,6,1,101,69,4.3,18,98,77
2015,6,2,99,72,4.9,17,95,78
2015,6,3,98,66,4.9,14,93,77
2015,6,4,93,64,7.4,26,91,78
2015,6,5,84,68,6.5,56,86,83
2015,6,6,94,70,6,38,96,76
2015,6,7,97,64,3.4,23,95,78
2015,6,8,104,74,3.6,26,107,74
2015,6,9,91,81,3.8,46,95,74
2015,6,10,92,75,4.9,56,102,78
2015,6,11,97,77,4.3,34,99,74
2015,6,12,100,71,3.1,22,98,75
2015,6,13,102,74,3.8,22,101,78
2015,6,14,104,77,3.8,23,105,75
2015,6,15,109,77,4.7,20,110,78
2015,6,16,109,77,4.5,18,109,78
2015,6,17,110,79,4.3,18,110,78
2015,6,18,114,81,5.4,14,112,75
2015,6,19,109,79,5.1,10,101,78
2015,6,20,109,73,4,10,101,77
2015,6,21,105,81,4.3,12,99,76
2015,6,22,106,80,4.3,16,103,77
2015,6,23,108,80,4.5,16,106,77
2015,6,24,110,83,4.5,15,108,76
2015,6,25,108,85,4.7,25,113,74
2015,6,26,105,85,3.6,25,108,78
2015,6,27,106,83,4.7,31,115,74
2015,6,28,107,84,4,34,120,75
2015,6,29,108,86,4.9,35,123,75
2015,6,30,105,85,6.7,35,116,74
2015,7,1,103,82,6,35,112,77
2015,7,2,105,83,6,29,111,77
2015,7,3,96,79,4.3,39,100,75
2015,7,4,104,81,5.6,37,116,75
2015,7,5,101,82,5.6,47,118,77
2015,7,6,102,77,4.3,44,118,78
2015,7,7,104,80,4.3,30,110,76
2015,7,8,105,79,6.3,24,107,78
2015,7,9,99,74,7.4,28,100,77
2015,7,10,99,70,7.2,29,100,76
2015,7,11,101,80,4.7,23,100,77
2015,7,12,102,75,2.5,21,101,78
2015,7,13,106,83,4.5,31,115,74
2015,7,14,105,86,4.9,27,109,75
