DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
61,159,2.1,85.12,1018
54,215,4.6,85.98,1020
79,122,6.7,84.27,1020
49,240,5.1,84.11,1020
32,309,3.2,86.44,1020
30,316,2.7,83.61,1020
37,280,3.1,78.52,1018
62,205,7.6,72.62,1020
64,185,2.7,73.56,1020
51,214,5.5,85.86,1020
77,130,4.7,88.7,1020
73,38,3.6,95.02,1016
43,205,2.4,94.58,1010
73,136,3.8,91.01,1010
61,164,3.1,89.42,1010
62,162,4.6,85.74,1010
32,328,4.5,76.62,1013
44,286,2.8,72.63,1014
42,293,4,73.54,1014
68,41,3,75.22,1010
52,233,1.8,84.46,1010
34,319,4.1,82.58,1015
68,198,5.5,79.41,1010
57,28,6.9,87.01,1010
38,307,4.2,71.76,1010
57,213,7.1,74.78,1010
32,356,5.6,72.53,1010
34,361,6.1,66.47,1017
58,236,4.8,74.11,1020
35,344,2.4,70.22,1020
58,245,5.9,75.19,1020
58,256,4.7,73.51,1016
50,240,4.1,88.92,1010
45,300,4.8,74.56,1018
54,249,4.3,77.29,1014
34,273,5.8,96.39,1010
44,287,7.1,79.23,1015
75,214,6.4,68.05,1020
34,353,3.4,71.25,1015
44,127,3.6,87.99,1006
37,358,7.3,80.68,1002
36,370,3.7,73.68,1010
37,358,3.2,70.18,1010
44,338,5.1,72.15,1015
41,347,5,66.14,1020
35,374,3.8,70.68,1020
46,329,3.9,74.36,1015
61,284,3.8,86.78,1010
74,62,6.4,79.01,1012
31,405,8.5,60.47,1020
54,262,6.9,69.7,1020
79,188,5.1,74.8,1020
51,270,2.9,87.81,1020
50,306,1.5,90.3,1016
50,303,2.4,86.32,1010
41,347,3.8,91.18,1010
110,126,5.8,90.68,1010
67,257,4.2,91.47,1013
84,90,4.6,90.56,1020
78,241,5.9,84.79,1020
36,371,4.4,77.23,1020
61,316,5.4,79.21,1019
62,290,5.8,80.28,1014
43,355,5,81.49,1013
47,338,2.1,80.93,1017
85,80,5.1,87.71,1020
81,75,6.9,84.93,1020
40,348,5.8,80.23,1014
62,264,6.8,80.69,1015
83,232,6,83.84,1017
56,293,6.2,80.27,1019
78,290,6.9,78.06,1017
43,362,4.9,76.03,1015
82,196,1.9,77.19,1013
52,331,2.1,79.51,1012
75,262,3.4,73.09,1010
69,218,3.6,72.32,1010
97,106,2.9,76.03,1010
52,330,2.4,69.09,1011
56,333,2,70.64,1010
72,307,2.9,75.05,1010
113,176,3.7,75.84,1010
67,272,2,75.51,1010
63,299,1.8,69.32,1010
90,184,5.4,79.33,1010
101,232,6.1,83.7,1010
88,206,6.1,62.33,1017
62,342,5.6,60.86,1020
84,294,2.8,60.44,1020
52,369,2.5,63.26,1016
54,363,2.1,67.43,1015
61,342,3,70.36,1020
50,381,4.8,70.78,1015
51,371,1.8,68.54,1011
47,382,3.4,73.36,1010
73,307,4.9,78.19,1015
73,291,5.4,77.71,1016
103,181,5.2,77.58,1012
55,345,5.2,78.64,1011
64,329,4.9,80.33,1010
77,246,3.9,80.18,1010
124,198,4.6,81.65,1010
62,302,4.9,80.13,1015
50,375,4.1,77.27,1013
51,360,4.1,77.59,1010
51,367,3.7,78.54,1010
91,244,3.8,75.42,1010
79,308,2.9,77.76,1010
80,289,3.7,79.13,1010
106,229,3.7,79.84,1010
114,60,2.2,85.12,1010
134,41,1.5,80.42,1010
112,127,2.4,81.89,1010
91,239,2.9,79.05,1010
95,256,3.8,78.16,1010
78,316,5.5,75.56,1004
108,209,2.3,78.98,1003
129,50,3.7,86.34,1001
58,15,4.8,94.89,1000
100,21,5.8,79.01,1003
53,385,4.4,63.06,1010
128,156,5.1,68.1,1010
56,388,6.9,66.56,1010
144,121,6.3,67.74,1014
105,49,4.8,87.28,1010
98,240,3.5,79.11,1010
55,326,2,71.14,1010
87,315,2,70.59,1010
79,319,2.3,71.46,1010
79,326,4.3,80.46,1011
