Year,Month,Day,DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
2016,1,1,58,221,3.1,81.52,1011
2016,1,2,45,236,1.7,86.09,1010
2016,1,3,65,51,1.9,90.69,1010
2016,1,4,68,147,5.7,79.59,1010
2016,1,5,56,14,7.2,79.68,1013
2016,1,6,68,42,6.3,86.84,1010
2016,1,7,36,288,2.7,86.65,1010
2016,1,8,66,66,3.1,88.13,1010
2016,1,9,48,245,2.3,92.28,1010
2016,1,10,60,142,5.2,92.98,1010
2016,1,11,59,161,5.4,80.82,1012
2016,1,12,63,23,4.9,89.37,1015
2016,1,13,84,46,5.2,76.48,1015
2016,1,14,33,0,3.5,84.33,1011
2016,1,15,51,9,5.5,95.94,1008
2016,1,16,38,268,2.9,79.38,1010
2016,1,17,84,89,8.7,86.09,1005
2016,1,18,64,232,6.2,75.64,1016
2016,1,19,72,153,7.2,71.3,1020
2016,1,20,54,258,4,79.66,1020
2016,1,21,64,226,3.3,77.42,1016
2016,1,22,38,1,6.6,94.15,1007
2016,1,23,40,319,9.7,74.3,1010
2016,1,24,31,372,5.5,75.94,1018
2016,1,25,77,206,2.7,78.19,1020
2016,1,26,61,234,3.9,81.54,1015
2016,1,27,76,25,3.4,96.09,1010
2016,1,28,42,4,4.4,98.91,1008
2016,1,29,71,115,4.9,78.63,1012
2016,1,30,60,251,2.3,71.37,1017
2016,1,31,91,130,1.9,79.54,1013
2016,2,1,72,49,2.5,95.92,1010
2016,2,2,50,278,3.6,92.62,1010
2016,2,3,54,268,5.3,88.44,1010
2016,2,4,73,208,4.8,85.49,1010
2016,2,5,80,76,7.3,82.29,1017
2016,2,6,46,245,4.1,85.97,1012
2016,2,7,59,271,8.1,81.97,1010
2016,2,8,44,344,5,73.04,1013
2016,2,9,95,106,7.1,75.89,1010
2016,2,10,75,215,4.8,75.37,1018
2016,2,11,50,306,4.2,70.32,1020
2016,2,12,35,365,2.2,74.88,1020
2016,2,13,43,335,3.7,80.79,1020
2016,2,14,68,264,6,76.09,1020
2016,2,15,84,69,5.8,84.18,1010
2016,2,16,82,153,2.7,92.73,1010
2016,2,17,42,339,3.6,69.77,1014
2016,2,18,58,178,5.5,73.04,1020
2016,2,19,75,207,6.7,70.97,1020
2016,2,20,108,66,5.1,72.18,1020
2016,2,21,91,222,3.4,72.25,1013
2016,2,22,57,321,4,78.35,1010
2016,2,23,77,71,5.2,87.69,1010
2016,2,24,87,174,6.1,92.74,1010
2016,2,25,44,358,6.9,75.23,1015
2016,2,26,40,376,5.8,67.87,1020
2016,2,27,40,377,5,65.73,1020
2016,2,28,96,146,5.4,70.29,1020
2016,3,1,91,242,1.8,76.39,1013
2016,3,2,60,313,1.2,75.44,1012
2016,3,3,109,111,2.8,85.13,1010
2016,3,4,70,248,3.2,86.36,1010
2016,3,5,112,121,2.4,82.74,1010
2016,3,6,42,374,5.4,75.6,1013
2016,3,7,104,130,6.5,69.12,1020
2016,3,8,74,231,7.1,68.44,1020
