Year,Month,Day,MaxTemp (F),MinTemp (F)
2015,1,1,84,66
2015,1,2,84,69
2015,1,3,83,74
2015,1,4,85,71
2015,1,5,85,67
2015,1,6,84,66
2015,1,7,82,63
2015,1,8,75,55
2015,1,9,80,58
2015,1,10,80,59
2015,1,11,83,62
2015,1,12,80,72
2015,1,13,82,66
2015,1,14,79,64
2015,1,15,80,63
2015,1,16,77,60
2015,1,17,78,56
2015,1,18,80,58
2015,1,19,76,50
2015,1,20,75,60
2015,1,21,85,64
2015,1,22,81,63
2015,1,23,80,69
2015,1,24,78,55
2015,1,25,69,47
2015,1,26,77,51
2015,1,27,72,48
2015,1,28,68,51
2015,1,29,74,52
2015,1,30,77,54
2015,1,31,76,55
2015,2,1,77,59
2015,2,2,84,64
2015,2,3,79,55
2015,2,4,79,60
2015,2,5,73,63
2015,2,6,78,57
2015,2,7,75,57
2015,2,8,78,55
2015,2,9,80,61
2015,2,10,78,52
2015,2,11,74,46
2015,2,12,77,51
2015,2,13,77,48
2015,2,14,67,41
2015,2,15,76,42
2015,2,16,77,52
2015,2,17,85,58
2015,2,18,71,50
2015,2,19,62,41
2015,2,20,68,40
2015,2,21,76,61
2015,2,22,82,65
2015,2,23,85,65
2015,2,24,86,62
2015,2,25,86,59
2015,2,26,87,73
2015,2,27,81,66
2015,2,28,82,64
2015,3,1,83,70
2015,3,2,81,65
2015,3,3,81,63
2015,3,4,82,69
2015,3,5,84,64
2015,3,6,85,62
2015,3,7,80,64
2015,3,8,78,66
2015,3,9,84,67
2015,3,10,82,71
2015,3,11,83,67
2015,3,12,85,69
2015,3,13,83,69
2015,3,14,82,65
2015,3,15,84,62
2015,3,16,84,62
2015,3,17,86,60
2015,3,18,86,57
2015,3,19,83,61
2015,3,20,88,56
2015,3,21,88,61
2015,3,22,89,64
2015,3,23,91,65
2015,3,24,88,66
2015,3,25,90,65
2015,3,26,88,67
2015,3,27,91,68
2015,3,28,75,62
2015,3,29,80,55
2015,3,30,81,52
2015,3,31,82,55
2015,4,1,84,59
2015,4,2,83,61
2015,4,3,84,64
2015,4,4,86,63
2015,4,5,85,63
2015,4,6,86,67
2015,4,7,86,73
2015,4,8,85,70
2015,4,9,86,71
2015,4,10,87,74
2015,4,11,88,73
2015,4,12,88,69
2015,4,13,86,72
2015,4,14,88,74
2015,4,15,88,71
2015,4,16,89,70
2015,4,17,92,70
2015,4,18,92,70
2015,4,19,90,72
2015,4,20,93,74
2015,4,21,82,72
2015,4,22,86,74
2015,4,23,93,72
2015,4,24,93,70
2015,4,25,94,75
2015,4,26,97,71
2015,4,27,95,74
2015,4,28,90,74
2015,4,29,77,70
2015,4,30,82,69
2015,5,1,85,65
2015,5,2,83,64
2015,5,3,83,64
2015,5,4,80,69
2015,5,5,80,68
2015,5,6,87,65
2015,5,7,90,65
2015,5,8,89,66
2015,5,9,89,64
2015,5,10,89,72
2015,5,11,88,74
2015,5,12,88,73
2015,5,13,89,75
2015,5,14,89,73
2015,5,15,88,72
2015,5,16,88,70
2015,5,17,88,76
2015,5,18,88,70
2015,5,19,89,70
2015,5,20,91,66
2015,5,21,96,72
2015,5,22,93,73
2015,5,23,91,70
2015,5,24,90,74
2015,5,25,91,79
2015,5,26,90,77
2015,5,27,89,76
2015,5,28,88,71
2015,5,29,89,64
2015,5,30,89,74
2015,5,31,87,70
2015,6,1,88,71
2015,6,2,84,71
2015,6,3,86,72
2015,6,4,89,69
2015,6,5,88,73
2015,6,6,88,70
2015,6,7,86,69
2015,6,8,89,71
2015,6,9,89,71
2015,6,10,89,72
2015,6,11,88,71
2015,6,12,90,80
2015,6,13,90,79
2015,6,14,89,79
2015,6,15,89,76
2015,6,16,90,75
2015,6,17,91,74
2015,6,18,92,77
2015,6,19,93,75
2015,6,20,93,74
2015,6,21,93,73
2015,6,22,93,74
2015,6,23,92,78
2015,6,24,93,79
2015,6,25,93,75
2015,6,26,93,75
2015,6,27,92,74
2015,6,28,94,73
2015,6,29,94,71
2015,6,30,93,72
2015,7,1,93,74
2015,7,2,92,79
2015,7,3,92,73
2015,7,4,91,73
2015,7,5,91,82
2015,7,6,92,75
2015,7,7,91,75
2015,7,8,91,73
2015,7,9,92,75
2015,7,10,91,76
2015,7,11,92,71
2015,7,12,93,70
2015,7,13,95,72
2015,7,14,93,73
2015,7,15,89,73
2015,7,16,86,75
2015,7,17,91,73
2015,7,18,88,74
2015,7,19,92,74
2015,7,20,93,75
2015,7,21,92,76
2015,7,22,92,74
2015,7,23,93,75
2015,7,24,94,77
2015,7,25,91,73
2015,7,26,87,75
2015,7,27,93,75
2015,7,28,96,75
2015,7,29,95,78
2015,7,30,95,77
2015,7,31,93,71
2015,8,1,92,74
2015,8,2,92,76
2015,8,3,91,73
2015,8,4,92,73
2015,8,5,92,76
2015,8,6,93,75
2015,8,7,93,73
2015,8,8,94,75
2015,8,9,94,73
2015,8,10,92,76
2015,8,11,93,74
2015,8,12,94,74
2015,8,13,92,74
2015,8,14,92,74
2015,8,15,87,76
2015,8,16,91,75
2015,8,17,90,78
2015,8,18,91,77
2015,8,19,92,79
2015,8,20,92,77
2015,8,21,91,76
2015,8,22,93,75
2015,8,23,94,76
2015,8,24,93,76
2015,8,25,92,76
2015,8,26,88,74
2015,8,27,90,73
2015,8,28,91,76
2015,8,29,91,77
2015,8,30,83,73
2015,8,31,91,75
2015,9,1,91,75
2015,9,2,91,77
2015,9,3,92,75
2015,9,4,90,71
2015,9,5,89,70
2015,9,6,91,73
2015,9,7,90,74
2015,9,8,92,76
2015,9,9,90,76
2015,9,10,92,76
2015,9,11,92,78
2015,9,12,93,77
2015,9,13,93,75
2015,9,14,93,76
2015,9,15,89,75
2015,9,16,85,74
2015,9,17,87,73
2015,9,18,90,72
2015,9,19,94,77
2015,9,20,95,74
2015,9,21,91,74
2015,9,22,91,74
2015,9,23,88,74
2015,9,24,86,73
2015,9,25,90,75
2015,9,26,90,74
2015,9,27,87,75
2015,9,28,89,75
2015,9,29,90,75
2015,9,30,93,75
2015,10,1,92,77
2015,10,2,92,74
2015,10,3,90,71
2015,10,4,90,68
2015,10,5,87,71
2015,10,6,87,73
2015,10,7,87,74
2015,10,8,90,73
2015,10,9,89,72
2015,10,10,91,73
2015,10,11,87,72
2015,10,12,90,71
2015,10,13,88,70
2015,10,14,91,72
2015,10,15,87,74
2015,10,16,82,75
2015,10,17,86,74
2015,10,18,86,70
2015,10,19,85,73
2015,10,20,87,77
2015,10,21,86,71
2015,10,22,85,73
2015,10,23,85,68
2015,10,24,84,69
2015,10,25,86,70
2015,10,26,84,70
2015,10,27,86,76
2015,10,28,82,73
2015,10,29,88,73
2015,10,30,89,72
2015,10,31,87,72
2015,11,1,87,74
2015,11,2,88,76
2015,11,3,87,72
2015,11,4,87,75
2015,11,5,86,77
2015,11,6,86,73
2015,11,7,87,76
2015,11,8,87,75
2015,11,9,88,73
2015,11,10,89,71
2015,11,11,89,70
2015,11,12,88,69
2015,11,13,88,71
2015,11,14,83,72
2015,11,15,79,71
2015,11,16,80,71
2015,11,17,84,70
2015,11,18,85,76
2015,11,19,84,75
2015,11,20,85,72
2015,11,21,82,71
2015,11,22,85,70
2015,11,23,78,63
2015,11,24,78,59
2015,11,25,78,67
2015,11,26,81,69
2015,11,27,82,65
2015,11,28,82,62
2015,11,29,81,65
2015,11,30,82,70
2015,12,1,83,67
2015,12,2,83,71
2015,12,3,83,71
2015,12,4,75,71
2015,12,5,76,71
2015,12,6,82,73
2015,12,7,76,67
2015,12,8,72,65
2015,12,9,82,66
2015,12,10,81,66
2015,12,11,82,63
2015,12,12,82,65
2015,12,13,82,73
2015,12,14,83,69
2015,12,15,84,66
2015,12,16,83,66
2015,12,17,83,69
2015,12,18,85,68
2015,12,19,77,63
2015,12,20,77,68
2015,12,21,81,72
2015,12,22,82,73
2015,12,23,83,76
2015,12,24,84,74
2015,12,25,82,74
2015,12,26,82,72
2015,12,27,82,75
2015,12,28,83,74
2015,12,29,84,75
2015,12,30,84,72
2015,12,31,83,71
2016,1,1,83,68
2016,1,2,84,66
2016,1,3,79,65
2016,1,4,69,60
2016,1,5,71,58
2016,1,6,74,63
2016,1,7,76,59
2016,1,8,80,58
2016,1,9,84,59
2016,1,10,83,67
2016,1,11,72,59
2016,1,12,64,58
2016,1,13,69,58
2016,1,14,70,60
2016,1,15,74,61
2016,1,16,77,58
2016,1,17,79,59
2016,1,18,66,54
2016,1,19,63,51
2016,1,20,72,51
2016,1,21,74,50
2016,1,22,71,59
2016,1,23,68,49
2016,1,24,60,42
2016,1,25,72,43
2016,1,26,79,61
2016,1,27,81,67
2016,1,28,74,66
2016,1,29,67,51
2016,1,30,73,49
2016,1,31,77,53
2016,2,1,79,66
2016,2,2,80,64
2016,2,3,81,68
2016,2,4,80,71
2016,2,5,72,59
2016,2,6,79,57
2016,2,7,65,50
2016,2,8,68,43
2016,2,9,68,57
2016,2,10,65,52
2016,2,11,69,45
2016,2,12,74,49
2016,2,13,75,49
2016,2,14,74,56
2016,2,15,75,65
2016,2,16,80,63
2016,2,17,76,56
2016,2,18,78,52
2016,2,19,76,58
2016,2,20,77,61
2016,2,21,78,57
2016,2,22,80,62
2016,2,23,79,71
2016,2,24,86,68
2016,2,25,70,56
2016,2,26,72,53
2016,2,27,69,47
2016,2,28,74,56
2016,3,1,79,57
2016,3,2,83,60
2016,3,3,80,64
2016,3,4,85,63
2016,3,5,78,61
2016,3,6,80,63
2016,3,7,77,56
2016,3,8,79,68
2016,3,9,80,70
2016,3,10,81,72
2016,3,11,82,70
2016,3,12,81,71
2016,3,13,83,66
2016,3,14,86,66
2016,3,15,88,64
2016,3,16,87,64
2016,3,17,85,64
2016,3,18,88,64
2016,3,19,87,70
2016,3,20,85,70
2016,3,21,71,53
2016,3,22,75,54
2016,3,23,80,62
2016,3,24,82,73
2016,3,25,87,74
2016,3,26,87,71
2016,3,27,85,70
2016,3,28,90,70
2016,3,29,87,67
2016,3,30,81,66
2016,3,31,86,74
2016,4,1,89,75
2016,4,2,90,76
2016,4,3,80,69
2016,4,4,82,65
2016,4,5,86,63
2016,4,6,80,60
2016,4,7,85,65
2016,4,8,83,61
2016,4,9,83,62
2016,4,10,80,63
2016,4,11,82,66
2016,4,12,84,63
2016,4,13,84,64
2016,4,14,86,64
2016,4,15,90,68
2016,4,16,85,65
2016,4,17,81,69
2016,4,18,84,58
2016,4,19,82,64
2016,4,20,83,62
2016,4,21,83,69
2016,4,22,84,72
2016,4,23,89,68
2016,4,24,86,64
2016,4,25,85,69
2016,4,26,85,66
2016,4,27,85,65
2016,4,28,87,66
2016,4,29,88,68
2016,4,30,83,76
2016,5,1,88,75
2016,5,2,88,77
2016,5,3,90,72
2016,5,4,83,69
2016,5,5,83,66
2016,5,6,82,66
2016,5,7,82,58
2016,5,8,82,59
2016,5,9,83,64
2016,5,10,86,74
2016,5,11,86,71
2016,5,12,84,67
2016,5,13,86,66
2016,5,14,92,73
2016,5,15,91,73
2016,5,16,88,72
2016,5,17,90,79
2016,5,18,88,72
2016,5,19,88,72
2016,5,20,91,73
2016,5,21,94,73
2016,5,22,92,72
2016,5,23,87,73
2016,5,24,88,71
2016,5,25,87,73
2016,5,26,86,64
2016,5,27,88,70
2016,5,28,87,71
2016,5,29,89,70
2016,5,30,88,71
2016,5,31,85,70
2016,6,1,89,71
2016,6,2,89,73
2016,6,3,90,74
2016,6,4,90,76
2016,6,5,91,80
2016,6,6,92,76
2016,6,7,91,80
2016,6,8,89,75
2016,6,9,89,75
2016,6,10,93,74
2016,6,11,93,74
2016,6,12,93,74
2016,6,13,93,75
2016,6,14,93,77
2016,6,15,89,74
2016,6,16,93,75
2016,6,17,93,76
2016,6,18,97,75
2016,6,19,91,73
2016,6,20,88,75
2016,6,21,83,72
2016,6,22,90,72
2016,6,23,91,74
2016,6,24,91,76
2016,6,25,91,81
2016,6,26,91,75
2016,6,27,90,74
2016,6,28,90,73
2016,6,29,90,75
2016,6,30,90,75
2016,7,1,89,75
2016,7,2,90,76
2016,7,3,,
2016,7,4,92,80
2016,7,5,92,78
2016,7,6,92,78
2016,7,7,93,77
2016,7,8,92,75
2016,7,9,92,83
2016,7,10,91,76
2016,7,11,92,76
2016,7,12,93,77
2016,7,13,91,77
2016,7,14,92,76
2016,7,15,92,72
2016,7,16,91,73
2016,7,17,91,76
2016,7,18,91,74
2016,7,19,90,77
2016,7,20,91,78
2016,7,21,87,76
2016,7,22,89,72
2016,7,23,89,70
2016,7,24,85,74
2016,7,25,90,74
2016,7,26,91,77
2016,7,27,91,77
2016,7,28,92,78
2016,7,29,92,76
2016,7,30,93,77
2016,7,31,92,77
2016,8,1,92,74
2016,8,2,91,72
2016,8,3,91,75
2016,8,4,91,75
2016,8,5,92,79
2016,8,6,94,74
2016,8,7,91,76
2016,8,8,87,75
2016,8,9,89,75
2016,8,10,92,74
2016,8,11,89,78
2016,8,12,90,75
2016,8,13,91,75
2016,8,14,91,75
2016,8,15,91,79
2016,8,16,90,77
2016,8,17,88,75
2016,8,18,90,78
2016,8,19,91,76
2016,8,20,93,74
2016,8,21,94,79
2016,8,22,94,77
2016,8,23,94,77
2016,8,24,90,78
2016,8,25,92,76
2016,8,26,91,75
2016,8,27,90,77
2016,8,28,89,78
2016,8,29,87,75
2016,8,30,86,74
2016,8,31,85,72
2016,9,1,88,74
2016,9,2,91,79
2016,9,3,,
2016,9,4,91,75
2016,9,5,88,77
2016,9,6,90,73
2016,9,7,90,72
2016,9,8,89,78
2016,9,9,89,78
2016,9,10,89,75
2016,9,11,89,76
2016,9,12,89,77
2016,9,13,90,77
2016,9,14,89,76
2016,9,15,90,72
2016,9,16,90,74
2016,9,17,90,74
2016,9,18,92,76
2016,9,19,94,75
2016,9,20,92,75
2016,9,21,91,74
2016,9,22,89,73
2016,9,23,91,71
2016,9,24,89,73
2016,9,25,87,71
2016,9,26,86,73
2016,9,27,85,70
2016,9,28,86,68
2016,9,29,93,71
2016,9,30,92,74
2016,10,1,89,71
2016,10,2,91,76
2016,10,3,91,75
2016,10,4,91,75
2016,10,5,91,76
2016,10,6,87,76
2016,10,7,91,79
2016,10,8,93,77
2016,10,9,91,74
2016,10,10,87,72
2016,10,11,88,76
2016,10,12,88,74
2016,10,13,90,74
2016,10,14,88,71
2016,10,15,90,71
2016,10,16,87,76
2016,10,17,87,71
2016,10,18,87,69
2016,10,19,87,68
2016,10,20,85,68
2016,10,21,87,66
2016,10,22,82,64
2016,10,23,84,63
2016,10,24,83,66
2016,10,25,83,64
2016,10,26,86,73
2016,10,27,82,70
2016,10,28,81,72
2016,10,29,81,75
2016,10,30,82,74
2016,10,31,84,73
2016,11,1,83,66
2016,11,2,86,73
2016,11,3,81,67
2016,11,4,83,64
2016,11,5,82,62
2016,11,6,81,64
2016,11,7,82,65
2016,11,8,83,63
2016,11,9,82,63
2016,11,10,84,62
2016,11,11,83,60
2016,11,12,83,57
2016,11,13,81,60
2016,11,14,80,61
2016,11,15,81,67
2016,11,16,80,62
2016,11,17,81,60
2016,11,18,81,62
2016,11,19,83,61
2016,11,20,79,60
2016,11,21,78,54
2016,11,22,80,52
2016,11,23,82,59
2016,11,24,84,67
2016,11,25,83,65
2016,11,26,83,66
2016,11,27,81,62
2016,11,28,81,66
2016,11,29,83,67
2016,11,30,84,75
2016,12,1,86,72
2016,12,2,84,74
2016,12,3,82,69
2016,12,4,83,69
2016,12,5,85,76
2016,12,6,87,77
2016,12,7,86,73
2016,12,8,84,69
2016,12,9,79,63
2016,12,10,73,63
2016,12,11,80,70
2016,12,12,84,68
2016,12,13,86,64
2016,12,14,87,66
2016,12,15,82,61
2016,12,16,82,62
2016,12,17,83,74
2016,12,18,85,75
2016,12,19,85,71
2016,12,20,84,66
2016,12,21,79,68
2016,12,22,83,65
2016,12,23,81,69
2016,12,24,84,68
2016,12,25,84,67
2016,12,26,83,72
2016,12,27,83,68
2016,12,28,83,63
2016,12,29,85,60
2016,12,30,70,54
2016,12,31,79,49
2017,1,1,84,64
2017,1,2,84,75
2017,1,3,86,70
2017,1,4,82,69
2017,1,5,82,60
2017,1,6,82,56
2017,1,7,87,54
2017,1,8,68,48
2017,1,9,73,48
2017,1,10,75,53
2017,1,11,78,63
2017,1,12,81,63
2017,1,13,81,63
2017,1,14,80,65
2017,1,15,82,65
2017,1,16,81,65
2017,1,17,81,63
2017,1,18,83,59
2017,1,19,83,59
2017,1,20,84,58
2017,1,21,83,59
2017,1,22,86,72
2017,1,23,79,64
2017,1,24,80,55
2017,1,25,81,53
2017,1,26,85,59
2017,1,27,85,62
2017,1,28,74,55
2017,1,29,63,50
2017,1,30,74,47
2017,1,31,74,50
2017,2,1,79,53
2017,2,2,83,57
2017,2,3,83,61
2017,2,4,82,61
2017,2,5,82,59
2017,2,6,83,60
2017,2,7,83,67
2017,2,8,90,62
2017,2,9,88,63
2017,2,10,80,60
2017,2,11,80,57
2017,2,12,82,59
2017,2,13,83,58
2017,2,14,84,60
2017,2,15,86,59
2017,2,16,81,56
2017,2,17,80,49
2017,2,18,84,59
2017,2,19,91,64
2017,2,20,83,64
2017,2,21,81,57
2017,2,22,76,64
2017,2,23,81,59
2017,2,24,85,60
2017,2,25,89,65
2017,2,26,85,61
2017,2,27,84,71
2017,2,28,85,71
2017,3,1,86,68
2017,3,2,87,67
2017,3,3,85,66
2017,3,4,,
2017,3,5,79,68
2017,3,6,79,66
2017,3,7,81,68
2017,3,8,82,65
2017,3,9,83,60
2017,3,10,88,59
2017,3,11,86,60
2017,3,12,84,63
2017,3,13,85,62
2017,3,14,81,54
2017,3,15,73,50
2017,3,16,75,50
2017,3,17,76,50
2017,3,18,80,58
2017,3,19,85,54
2017,3,20,79,56
2017,3,21,80,54
2017,3,22,85,57
2017,3,23,85,56
2017,3,24,82,68
2017,3,25,82,67
2017,3,26,83,65
2017,3,27,83,60
2017,3,28,87,60
2017,3,29,86,64
2017,3,30,84,65
2017,3,31,88,71
2017,4,1,88,69
2017,4,2,87,70
2017,4,3,86,76
2017,4,4,87,73
2017,4,5,88,68
2017,4,6,91,65
2017,4,7,79,57
2017,4,8,80,52
2017,4,9,83,62
2017,4,10,84,59
2017,4,11,84,65
2017,4,12,85,61
2017,4,13,83,70
2017,4,14,84,60
2017,4,15,81,75
2017,4,16,84,72
2017,4,17,81,73
2017,4,18,84,72
2017,4,19,84,70
2017,4,20,83,70
2017,4,21,84,70
2017,4,22,86,73
2017,4,23,80,68
2017,4,24,88,64
2017,4,25,85,60
2017,4,26,86,61
2017,4,27,91,75
2017,4,28,88,77
2017,4,29,87,76
2017,4,30,87,76
2017,5,1,87,77
2017,5,2,88,70
2017,5,3,87,67
2017,5,4,89,70
2017,5,5,87,63
2017,5,6,84,61
2017,5,7,86,60
2017,5,8,88,57
2017,5,9,88,62
2017,5,10,88,66
2017,5,11,89,66
2017,5,12,91,65
2017,5,13,92,72
2017,5,14,89,70
2017,5,15,95,67
2017,5,16,90,71
