,Year,Month,Day,MaxTemp (F),MinTemp (F),DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
0,2015,1,1,84.0,66.0,61,159,2.1,85.12,1018
1,2015,1,2,84.0,69.0,54,215,4.6,85.98,1020
2,2015,1,3,83.0,74.0,79,122,6.7,84.27,1020
3,2015,1,4,85.0,71.0,49,240,5.1,84.11,1020
4,2015,1,5,85.0,67.0,32,309,3.2,86.44,1020
5,2015,1,6,84.0,66.0,30,316,2.7,83.61,1020
6,2015,1,7,82.0,63.0,37,280,3.1,78.52,1018
7,2015,1,8,75.0,55.0,62,205,7.6,72.62,1020
8,2015,1,9,80.0,58.0,64,185,2.7,73.56,1020
9,2015,1,10,80.0,59.0,51,214,5.5,85.86,1020
10,2015,1,11,83.0,62.0,77,130,4.7,88.7,1020
11,2015,1,12,80.0,72.0,73,38,3.6,95.02,1016
12,2015,1,13,82.0,66.0,43,205,2.4,94.58,1010
13,2015,1,14,79.0,64.0,73,136,3.8,91.01,1010
14,2015,1,15,80.0,63.0,61,164,3.1,89.42,1010
15,2015,1,16,77.0,60.0,62,162,4.6,85.74,1010
16,2015,1,17,78.0,56.0,32,328,4.5,76.62,1013
17,2015,1,18,80.0,58.0,44,286,2.8,72.63,1014
18,2015,1,19,76.0,50.0,42,293,4.0,73.54,1014
19,2015,1,20,75.0,60.0,68,41,3.0,75.22,1010
20,2015,1,21,85.0,64.0,52,233,1.8,84.46,1010
21,2015,1,22,81.0,63.0,34,319,4.1,82.58,1015
22,2015,1,23,80.0,69.0,68,198,5.5,79.41,1010
23,2015,1,24,78.0,55.0,57,28,6.9,87.01,1010
24,2015,1,25,69.0,47.0,38,307,4.2,71.76,1010
25,2015,1,26,77.0,51.0,57,213,7.1,74.78,1010
26,2015,1,27,72.0,48.0,32,356,5.6,72.53,1010
27,2015,1,28,68.0,51.0,34,361,6.1,66.47,1017
28,2015,1,29,74.0,52.0,58,236,4.8,74.11,1020
29,2015,1,30,77.0,54.0,35,344,2.4,70.22,1020
30,2015,1,31,76.0,55.0,58,245,5.9,75.19,1020
31,2015,2,1,77.0,59.0,58,256,4.7,73.51,1016
32,2015,2,2,84.0,64.0,50,240,4.1,88.92,1010
33,2015,2,3,79.0,55.0,45,300,4.8,74.56,1018
34,2015,2,4,79.0,60.0,54,249,4.3,77.29,1014
35,2015,2,5,73.0,63.0,34,273,5.8,96.39,1010
36,2015,2,6,78.0,57.0,44,287,7.1,79.23,1015
37,2015,2,7,75.0,57.0,75,214,6.4,68.05,1020
38,2015,2,8,78.0,55.0,34,353,3.4,71.25,1015
39,2015,2,9,80.0,61.0,44,127,3.6,87.99,1006
40,2015,2,10,78.0,52.0,37,358,7.3,80.68,1002
41,2015,2,11,74.0,46.0,36,370,3.7,73.68,1010
42,2015,2,12,77.0,51.0,37,358,3.2,70.18,1010
43,2015,2,13,77.0,48.0,44,338,5.1,72.15,1015
44,2015,2,14,67.0,41.0,41,347,5.0,66.14,1020
45,2015,2,15,76.0,42.0,35,374,3.8,70.68,1020
46,2015,2,16,77.0,52.0,46,329,3.9,74.36,1015
47,2015,2,17,85.0,58.0,61,284,3.8,86.78,1010
48,2015,2,18,71.0,50.0,74,62,6.4,79.01,1012
49,2015,2,19,62.0,41.0,31,405,8.5,60.47,1020
50,2015,2,20,68.0,40.0,54,262,6.9,69.7,1020
51,2015,2,21,76.0,61.0,79,188,5.1,74.8,1020
52,2015,2,22,82.0,65.0,51,270,2.9,87.81,1020
53,2015,2,23,85.0,65.0,50,306,1.5,90.3,1016
54,2015,2,24,86.0,62.0,50,303,2.4,86.32,1010
55,2015,2,25,86.0,59.0,41,347,3.8,91.18,1010
56,2015,2,26,87.0,73.0,110,126,5.8,90.68,1010
57,2015,2,27,81.0,66.0,67,257,4.2,91.47,1013
58,2015,2,28,82.0,64.0,84,90,4.6,90.56,1020
59,2015,3,1,83.0,70.0,78,241,5.9,84.79,1020
60,2015,3,2,81.0,65.0,36,371,4.4,77.23,1020
61,2015,3,3,81.0,63.0,61,316,5.4,79.21,1019
62,2015,3,4,82.0,69.0,62,290,5.8,80.28,1014
63,2015,3,5,84.0,64.0,43,355,5.0,81.49,1013
64,2015,3,6,85.0,62.0,47,338,2.1,80.93,1017
65,2015,3,7,80.0,64.0,85,80,5.1,87.71,1020
66,2015,3,8,78.0,66.0,81,75,6.9,84.93,1020
67,2015,3,9,84.0,67.0,40,348,5.8,80.23,1014
68,2015,3,10,82.0,71.0,62,264,6.8,80.69,1015
