Year,Month,Day,Max Temp (F),Min Temp (F),Average Wind Speed (mph),Relative Humidity (%),Real Feel (F),Users Thermostat (F)
2010,1,1,63,49,2.3,94,63,62
2010,1,2,58,45,2.4,96,58,65
2010,1,3,60,39,3.4,89,60,64
2010,1,4,57,42,2.8,86,56,63
2010,1,5,59,38,2.3,90,59,65
2010,1,6,59,39,2.4,90,59,65
2010,1,7,58,41,3.1,94,58,63
2010,1,8,58,44,2.9,92,58,61
2010,1,9,54,42,2.6,97,54,64
2010,1,10,56,39,2.8,91,56,64
2010,1,11,56,42,4.2,90,56,65
2010,1,12,63,52,7.3,98,64,60
2010,1,13,62,49,4.5,94,62,64
2010,1,14,61,42,2.6,92,61,60
2010,1,15,63,40,2.9,88,63,64
2010,1,16,63,41,3.5,94,63,64
2010,1,17,56,51,6,98,56,64
2010,1,18,57,50,10.4,95,57,63
2010,1,19,58,48,8.3,96,58,60
2010,1,20,55,46,10.2,97,55,65
2010,1,21,50,43,6,99,48,61
2010,1,22,51,41,3.3,98,50,62
2010,1,23,57,40,2.5,92,57,61
2010,1,24,54,40,3.1,95,54,65
2010,1,25,57,49,6.4,98,57,61
2010,1,26,57,48,2.7,100,57,62
2010,1,27,56,45,2.5,93,56,64
2010,1,28,59,44,2.6,91,59,60
2010,1,29,62,44,3.5,94,62,61
2010,1,30,60,41,2.1,94,60,63
2010,1,31,61,47,1,88,61,64
2010,2,1,63,42,2.1,92,63,60
2010,2,2,59,46,2.1,92,59,65
2010,2,3,63,43,1.6,92,63,65
2010,2,4,59,49,7.4,97,59,64
2010,2,5,65,49,3.5,98,66,66
2010,2,6,59,46,4.5,97,59,62
2010,2,7,58,45,3.2,94,58,60
2010,2,8,55,43,3.2,96,55,61
2010,2,9,57,44,3.5,93,57,62
2010,2,10,60,39,3.3,95,60,65
2010,2,11,62,40,3,95,62,62
2010,2,12,64,50,3,98,64,65
2010,2,13,65,45,1.6,94,66,66
2010,2,14,60,45,2.5,93,60,62
2010,2,15,67,44,2.5,93,68,68
2010,2,16,66,52,2.4,93,66,66
2010,2,17,69,47,2.3,90,70,70
2010,2,18,59,46,2.6,94,59,65
2010,2,19,59,49,2.7,93,59,64
2010,2,20,58,50,4.6,98,58,60
2010,2,21,56,49,2.8,99,56,65
2010,2,22,60,45,2.8,79,60,63
2010,2,23,53,45,5.9,92,52,65
2010,2,24,64,49,4.2,97,64,62
2010,2,25,67,48,1.8,89,68,68
2010,2,26,61,50,6.5,97,61,64
