Year,Month,Day,Max Temp (F),Min Temp (F)
2010,1,1,63,49
2010,1,2,58,45
2010,1,3,60,39
2010,1,4,57,42
2010,1,5,59,38
2010,1,6,59,39
2010,1,7,58,41
2010,1,8,58,44
2010,1,9,54,42
2010,1,10,56,39
2010,1,11,56,42
2010,1,12,63,52
2010,1,13,62,49
2010,1,14,61,42
2010,1,15,63,40
2010,1,16,63,41
2010,1,17,56,51
2010,1,18,57,50
2010,1,19,58,48
2010,1,20,55,46
2010,1,21,50,43
2010,1,22,51,41
2010,1,23,57,40
2010,1,24,54,40
2010,1,25,57,49
2010,1,26,57,48
2010,1,27,56,45
2010,1,28,59,44
2010,1,29,62,44
2010,1,30,60,41
2010,1,31,61,47
2010,2,1,63,42
2010,2,2,59,46
2010,2,3,63,43
2010,2,4,59,49
2010,2,5,65,49
2010,2,6,59,46
2010,2,7,58,45
2010,2,8,55,43
2010,2,9,57,44
2010,2,10,60,39
2010,2,11,62,40
2010,2,12,64,50
2010,2,13,65,45
2010,2,14,60,45
2010,2,15,67,44
2010,2,16,66,52
2010,2,17,69,47
2010,2,18,59,46
2010,2,19,59,49
2010,2,20,58,50
2010,2,21,56,49
2010,2,22,60,45
2010,2,23,53,45
2010,2,24,64,49
2010,2,25,67,48
2010,2,26,61,50
2010,2,27,62,48
2010,2,28,67,44
2010,3,1,62,48
2010,3,2,59,46
2010,3,3,55,43
2010,3,4,58,40
2010,3,5,60,40
2010,3,6,65,48
2010,3,7,63,42
2010,3,8,57,44
2010,3,9,56,40
2010,3,10,56,42
2010,3,11,63,37
2010,3,12,57,44
2010,3,13,57,38
2010,3,14,64,39
2010,3,15,73,42
2010,3,16,71,48
2010,3,17,73,51
2010,3,18,75,47
2010,3,19,81,46
2010,3,20,74,45
2010,3,21,67,48
2010,3,22,67,50
2010,3,23,74,46
2010,3,24,70,49
2010,3,25,64,47
2010,3,26,64,46
2010,3,27,74,42
2010,3,28,75,47
2010,3,29,69,48
2010,3,30,62,49
2010,3,31,59,44
2010,4,1,59,42
2010,4,2,61,41
2010,4,3,58,41
2010,4,4,56,43
2010,4,5,60,44
2010,4,6,63,41
2010,4,7,71,42
2010,4,8,64,47
2010,4,9,71,44
2010,4,10,60,51
2010,4,11,56,47
2010,4,12,59,45
2010,4,13,63,45
2010,4,14,63,47
2010,4,15,71,43
2010,4,16,70,50
2010,4,17,71,50
2010,4,18,78,47
2010,4,19,72,52
2010,4,20,60,49
2010,4,21,54,47
2010,4,22,67,46
2010,4,23,71,49
2010,4,24,72,47
2010,4,25,79,47
2010,4,26,74,49
2010,4,27,66,50
2010,4,28,59,47
2010,4,29,62,48
2010,4,30,68,45
2010,5,1,70,45
2010,5,2,76,47
2010,5,3,82,51
2010,5,4,76,50
2010,5,5,67,48
2010,5,6,73,49
2010,5,7,70,46
2010,5,8,68,49
2010,5,9,64,52
2010,5,10,61,49
2010,5,11,67,46
2010,5,12,74,47
2010,5,13,74,49
2010,5,14,68,52
2010,5,15,70,52
2010,5,16,67,52
2010,5,17,64,53
2010,5,18,70,54
2010,5,19,69,51
2010,5,20,70,49
2010,5,21,65,47
2010,5,22,63,46
2010,5,23,69,45
2010,5,24,67,52
2010,5,25,64,50
2010,5,26,69,53
2010,5,27,66,50
2010,5,28,68,45
2010,5,29,80,50
2010,5,30,84,51
2010,5,31,74,53
2010,6,1,71,57
2010,6,2,81,57
2010,6,3,80,61
2010,6,4,83,62
2010,6,5,85,64
2010,6,6,81,60
