"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT13","WT14","WT16","WT21"
"USW00023293","SAN JOSE, CA US","2010-01-01","3.13"," 1209"," 1208","0.00",,,,"63","49","  250","  250","10.1","13.0",,,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-01-02","2.68"," 1709"," 0733","0.00",,,,"58","45","  260","  340","10.1","21.0",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-01-03","0.89"," 1705"," 2025","0.00",,,,"60","39","  240","  230","6.9","8.1","    1",,,,,"    1","    1","    1",,,
"USW00023293","SAN JOSE, CA US","2010-01-04","1.12"," 2219"," 2216","0.00",,,,"57","42","  200","  190","6.9","10.1","    1",,,,,"    1","    1","    1",,,
"USW00023293","SAN JOSE, CA US","2010-01-05","2.01"," 1456"," 1647","0.00",,,,"59","38","  290","  340","8.1","8.9","    1",,,,,"    1","    1","    1",,,
"USW00023293","SAN JOSE, CA US","2010-01-06","2.46"," 2017"," 1312","0.00",,,,"59","39","  290","  220","10.1","23.0","    1",,,,,"    1","    1","    1",,,
"USW00023293","SAN JOSE, CA US","2010-01-07","2.01"," 1914"," 1227","0.00",,,,"58","41","  270","   90","8.9","17.0","    1",,,,,"    1","    1","    1",,,
"USW00023293","SAN JOSE, CA US","2010-01-08","2.46"," 1447"," 1446","0.01",,,,"58","44","  320","  320","16.1","19.9","    1",,,,"    1","    1","    1","    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-01-09","1.12"," 1419"," 1413","0.00",,,,"54","42","  250","  250","10.1","14.1","    1","    1",,,,,"    1","    1",,,
"USW00023293","SAN JOSE, CA US","2010-01-10","1.34"," 1149"," 1126","0.00",,,,"56","39","  260","  220","6.9","10.1","    1","    1",,,,,"    1","    1",,,
"USW00023293","SAN JOSE, CA US","2010-01-11","1.57"," 2357"," 1405","0.00",,,,"56","42","   90","  240","12.1","23.9","    1","    1",,,,"    1","    1","    1",,,
"USW00023293","SAN JOSE, CA US","2010-01-12","8.72"," 0758"," 0758","0.26",,,,"63","52","  110","  110","17.9","21.9","    1",,,,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-01-13","4.70"," 1743"," 0841","0.18",,,,"62","49","  310","   90","13.0","31.1","    1",,,,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-01-14","2.24"," 2229"," 2227","0.00",,,,"61","42","  140","  140","8.1","10.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-01-15","3.58"," 1340"," 1143","0.00",,,,"63","40","  300","   90","14.1","17.0","    1",,,,,,"    1","    1",,,
"USW00023293","SAN JOSE, CA US","2010-01-16","4.25"," 1522"," 1424","0.00",,,,"63","41","  200","  190","15.0","17.9","    1",,,,,,"    1","    1",,,
"USW00023293","SAN JOSE, CA US","2010-01-17","8.50"," 2351"," 2350","0.12",,,,"56","51","  100","  110","21.9","25.9","    1",,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-01-18","13.87"," 1019"," 1018","0.65",,,,"57","50","  100","   90","28.0","36.0","    1",,,,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-01-19","14.76"," 0640"," 0638","0.73",,,,"58","48","  180","  160","30.0","40.9","    1",,"    1",,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-01-20","14.99"," 0908"," 0835","1.29",,,,"55","46","  110","  120","32.0","42.9","    1",,"    1",,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-01-21","7.38"," 1855"," 0058","0.52",,,,"50","43","  280","  100","23.0","30.0","    1",,,,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-01-22","7.61"," 1100"," 0744","0.25",,,,"51","41","  110","  100","16.1","21.0","    1",,,,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-01-23","5.59"," 0922"," 0918","0.25",,,,"57","40","  130","  130","13.0","15.0","    1",,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-01-24","6.71"," 2226"," 2221","0.00",,,,"54","40","  110","  100","15.0","19.9",,,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-01-25","11.41"," 1448"," 1448","0.02",,,,"57","49","  160","  160","23.9","33.1",,,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-01-26","6.26"," 0744"," 0835","0.05",,,,"57","48","  100","   90","17.9","23.0","    1",,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-01-27","2.24"," 1157"," 1154","0.00",,,,"56","45","  300","  320","10.1","13.0","    1",,,,,,,"    1",,,
"USW00023293","SAN JOSE, CA US","2010-01-28","2.24"," 2335"," 1116","0.00",,,,"59","44","  110","  240","8.1","13.0","    1",,,,,"    1","    1","    1",,,
"USW00023293","SAN JOSE, CA US","2010-01-29","5.82"," 1604"," 1410","0.25",,,,"62","44","  190","  180","19.9","25.1","    1",,,,"    1",,,"    1",,"    1",
"USW00023293","SAN JOSE, CA US","2010-01-30","3.80"," 1657"," 1656","0.00",,,,"60","41","  310","  310","13.0","16.1","    1","    1",,,,,,"    1",,,
"USW00023293","SAN JOSE, CA US","2010-01-31","2.24"," 1735"," 1733","0.00",,,,"61","47","  300","  310","12.1","14.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-02-01","3.36"," 1611"," 1038","0.00",,,,"63","42","  310","   30","14.1","16.1",,,,,,,,,,,
"USW00023293","SAN JOSE, CA US","2010-02-02","1.12"," 1634"," 1651","0.02",,,,"59","46","  280","  330","8.1","12.1",,,,,"    1",,,,,"    1",
"USW00023293","SAN JOSE, CA US","2010-02-03","3.80"," 1659"," 1715","0.00",,,,"63","43","  320","  330","15.0","21.0","    1",,,,,,,"    1",,,
